"ObjectName","Status","Reason","Evidence","ProposedAction"
"T_AU_API_MASTER_STG","Backup / Temp / Archive Only","Naming pattern indicates temporary, backup, archive, or system-generated support object and no active code reference was found.","","Exclude from IAS_ZTBL core; preserve only outside future operational schema"
"T_AU_AUDIT_JOINING","Confirmed Active","Referenced by DBConnection methods used by active controllers and/or by called procedures.","PROC:PKG_AR.P_GETTASKLIST; PROC:PKG_AR.P_ADDJOININGREPORT; PROC:PKG_AR.P_SETENGIDONHOLD; PROC:PKG_AR.P_GETCLOSINGDRAFTOBSERVATIONS; PROC:PKG_AR.P_GETOBSERVATIONENTITIES; PROC:PKG_AR.P_CLOSEAUDIT; PROC:PKG_LG.P_GETLOGGEDINUSERENGID; PROC:PKG_AI.P_GETGLHEADSUMMARY_YEARLY; PROC:PKG_HD.P_AUDIT_CONCLUDING; PROC:PKG_RPT.R_AUDITPLANPROGRESS; PROC:PKG_RPT.R_GETAUDITEES","Migrate to IAS_ZTBL core or dedicated history module"
"T_AU_AUDIT_POST_COMPLAINCE","Low-Confidence / Needs Verification","No active DBConnection or mapped procedure reference found; could still be used by views, triggers, or unmanaged reporting paths.","","Do not exclude yet; verify via view/trigger/report migration analysis"
"T_AU_AUDIT_TEAM_TASKLIST","Confirmed Active","Referenced by DBConnection methods used by active controllers and/or by called procedures.","PROC:PKG_AD.P_GET_AUDIT_TEAM_POSTCHANGES; PROC:PKG_AD.P_SHIFT_BR_TO_ISLAMIC; PROC:PKG_AD.P_AUDIT_TEAM_POSTCHANGES; PROC:PKG_AD.P_AUDIT_ENGAGEMENT_REVERSAL; PROC:PKG_AR.P_GETTASKLIST; PROC:PKG_AR.P_GETJOININGDETAILS; PROC:PKG_AR.P_ADDJOININGREPORT; PROC:PKG_AR.P_DROPAUDITOBSERVATION; PROC:PKG_AR.P_SUBMITAUDITOBSERVATIONTOAUDITEE; PROC:PKG_AR.P_UPDATEAUDITOBSERVATIONSTATUS; PROC:PKG_AR.P_UPDATEOBSERVATION; PROC:PKG_AR.P_GETCLOSINGDRAFTOBSERVATIONS","Migrate to IAS_ZTBL core or dedicated history module"
"T_AU_AUDIT_TEAM_TASKLIST_STATUS","Confirmed Active","Referenced by DBConnection methods used by active controllers and/or by called procedures.","PROC:PKG_AR.P_GETTASKLIST","Migrate to IAS_ZTBL core or dedicated history module"
"T_AU_AUDIT_TEAMS","Confirmed Active","Referenced by DBConnection methods used by active controllers and/or by called procedures.","PROC:PKG_AD.P_GET_AUDIT_TEAM_POSTCHANGES; PROC:PKG_AD.P_GET_AUDIT_ENGAGEMENT; PROC:PKG_AD.P_AUDIT_TEAM_POSTCHANGES; PROC:PKG_AD.P_AUDIT_ENGAGEMENT_REVERSAL; PROC:PKG_AR.P_GETTASKLIST; PROC:PKG_AR.P_GETJOININGDETAILS; PROC:PKG_AR.P_ADDJOININGREPORT; PROC:PKG_AR.P_CLOSEAUDIT; PROC:PKG_PG.P_MAXTEAMID; PROC:PKG_PG.P_ADDAUDITENGAGEMENTPLAN; PROC:PKG_PG.P_RERECOMMENDAUDITENGAGEMENTPLAN; PROC:PKG_PG.P_APPROVEAUDITENGAGEMENTPLAN","Migrate to IAS_ZTBL core or dedicated history module"
"T_AU_AUDIT_TWICE_IN_A_YEAR_BRANCHES","Low-Confidence / Needs Verification","No active DBConnection or mapped procedure reference found; could still be used by views, triggers, or unmanaged reporting paths.","","Do not exclude yet; verify via view/trigger/report migration analysis"
"T_AU_CCQ","Confirmed Active","Referenced by DBConnection methods used by active controllers and/or by called procedures.","PROC:PKG_AE.P_GETCCQSENTITIES; PROC:PKG_PG.P_GETCCQ; PROC:PKG_PG.P_UPDATECCQ","Migrate to IAS_ZTBL core or dedicated history module"
"T_AU_CCQ_RESPONSE","Low-Confidence / Needs Verification","No active DBConnection or mapped procedure reference found; could still be used by views, triggers, or unmanaged reporting paths.","","Do not exclude yet; verify via view/trigger/report migration analysis"
"T_AU_DATA_VALIDATION_FAD_LOG","Confirmed Active","Referenced by DBConnection methods used by active controllers and/or by called procedures.","PROC:PKG_FAD.P_GETLEAGACYOBSERVATIONS; PROC:PKG_FAD.P_REVIEWED_LEGACY_PARA; PROC:PKG_FAD.P_UPDATE_LEGACY_PARA_TEXT; PROC:PKG_FAD.P_REFERBACK_LEGACY_PARA; PROC:PKG_RPT.P_GET_FAD_USERWISE_OLDPARASPERFORMANCE","Migrate to IAS_ZTBL core or dedicated history module"
"T_AU_DATA_VALIDATION_HO_LOG","Confirmed Active","Referenced by DBConnection methods used by active controllers and/or by called procedures.","PROC:PKG_AR.P_GETLEAGACYOBSERVATIONS_HO; PROC:PKG_AR.P_UPDATE_LEGACY_PARA_TEXT; PROC:PKG_AR.P_SETTEL_LEGACY_PARA_HO; PROC:PKG_AR.P_DELETE_LEGACY_PARA_HO","Migrate to IAS_ZTBL core or dedicated history module"
"T_AU_DSA","Confirmed Active","Referenced by DBConnection methods used by active controllers and/or by called procedures.","PROC:PKG_AR.P_DRAFT_DSA; PROC:PKG_AR.P_GET_DSA_LIST; PROC:PKG_AR.P_GET_DSA_CONTENT; PROC:PKG_AR.P_SUBMIT_DSA_TO_HEAD_FAD; PROC:PKG_AR.P_UPDATE_DSA_HEADING; PROC:PKG_AR.P_REFFERED_BACK_DSA_BY_HEAD_FAD; PROC:PKG_AR.P_SUBMIT_DSA_BY_HEAD_FAD_TO_DPD; PROC:PKG_AR.P_REFFERED_BACK_DSA_BY_DPD; PROC:PKG_AR.P_SUBMIT_DSA_BY_DPD_TO_COMMITTEE; PROC:PKG_HD.P_GET_OBSERVATION_DETAILS_FROM_ID","Migrate to IAS_ZTBL core or dedicated history module"
"T_AU_DSA_GUIDELINES","Confirmed Active","Referenced by DBConnection methods used by active controllers and/or by called procedures.","PROC:PKG_AR.P_GET_DSA_GUIDLINE","Migrate to IAS_ZTBL core or dedicated history module"
"T_AU_DSA_GUIDELINES_ADDED","Confirmed Active","Referenced by DBConnection methods used by active controllers and/or by called procedures.","PROC:PKG_AR.P_ADD_DSA_CHECKILIST","Migrate to IAS_ZTBL core or dedicated history module"
"T_AU_DSA_STATUS","Confirmed Active","Referenced by DBConnection methods used by active controllers and/or by called procedures.","PROC:PKG_AR.P_GET_DSA_LIST","Migrate to IAS_ZTBL core or dedicated history module"
"T_AU_DSA_TEXT","Confirmed Active","Referenced by DBConnection methods used by active controllers and/or by called procedures.","PROC:PKG_AR.P_DRAFT_DSA; PROC:PKG_AR.P_GET_DSA_LIST; PROC:PKG_AR.P_GET_DSA_CONTENT","Migrate to IAS_ZTBL core or dedicated history module"
"T_AU_DUPLICATE_PARAS","Confirmed Active","Referenced by DBConnection methods used by active controllers and/or by called procedures.","PROC:PKG_HD.P_ADD_DUPLICATE_PARAS; PROC:PKG_HD.P_GET_DUPLICATE_PARAS_ENT_FOR_AUTH; PROC:PKG_HD.P_GET_DUPLICATE_PARAS_FOR_AUTH; PROC:PKG_HD.P_REJECT_DUPLICATE_PARAS; PROC:PKG_HD.P_AUTH_DUPLICATE_PARAS","Migrate to IAS_ZTBL core or dedicated history module"
"T_AU_EMAIL_QUEUE","Low-Confidence / Needs Verification","No active DBConnection or mapped procedure reference found; could still be used by views, triggers, or unmanaged reporting paths.","","Do not exclude yet; verify via view/trigger/report migration analysis"
"T_AU_EMAILS","Low-Confidence / Needs Verification","No active DBConnection or mapped procedure reference found; could still be used by views, triggers, or unmanaged reporting paths.","","Do not exclude yet; verify via view/trigger/report migration analysis"
"T_AU_EMAILS_INTERNAL","Low-Confidence / Needs Verification","No active DBConnection or mapped procedure reference found; could still be used by views, triggers, or unmanaged reporting paths.","","Do not exclude yet; verify via view/trigger/report migration analysis"
"T_AU_ENB_TBL_DIVISONS","Low-Confidence / Needs Verification","No active DBConnection or mapped procedure reference found; could still be used by views, triggers, or unmanaged reporting paths.","","Do not exclude yet; verify via view/trigger/report migration analysis"
"T_AU_ENTITIES","Low-Confidence / Needs Verification","No active DBConnection or mapped procedure reference found; could still be used by views, triggers, or unmanaged reporting paths.","","Do not exclude yet; verify via view/trigger/report migration analysis"
"T_AU_ENTITY_SHIFTING","Confirmed Active","Referenced by DBConnection methods used by active controllers and/or by called procedures.","PROC:PKG_AD.P_ADD_ENTITY_SHIFTING","Migrate to IAS_ZTBL core or dedicated history module"
"T_AU_ERROR_LOGS","Confirmed Active","Referenced by DBConnection methods used by active controllers and/or by called procedures.","PROC:PKG_AR.P_GETLEAGACYOBSERVATIONS; PROC:PKG_AR.P_GETLEAGACYOBSERVATIONS_HO; PROC:PKG_AR.P_GETLEAGACYOBSERVATIONS_FOR_GIST_UPDATE; PROC:PKG_AR.P_UPDATE_LEGACY_PARA_TEXT; PROC:PKG_AR.P_ADD_PARA_RESPONSIBILITY; PROC:PKG_AR.P_UPDATE_LEGACY_PARA_GIST; PROC:PKG_AR.P_NO_UPDATE_LEGACY_PARA_TEXT; PROC:PKG_FAD.P_GETLEAGACYOBSERVATIONS; PROC:PKG_FAD.P_REVIEWED_LEGACY_PARA; PROC:PKG_FAD.P_UPDATE_LEGACY_PARA_TEXT; PROC:PKG_FAD.P_REFERBACK_LEGACY_PARA; PROC:PKG_HD.P_ADD_LEGACY_PARA","Migrate to IAS_ZTBL core or dedicated history module"
"T_AU_EXCEPTION_REPORTS","Confirmed Active","Referenced by DBConnection methods used by active controllers and/or by called procedures.","PROC:PKG_SM.P_GET_EXCEPTION_MONITOR_DETAILS; PROC:PKG_SM.T_AU_EXCEPTION_REPORT; PROC:PKG_SM.P_ADD_NEW_EXP_REPORT","Migrate to IAS_ZTBL core or dedicated history module"
"T_AU_EXCEPTION_REPORTS_FORMAT","Confirmed Active","Referenced by DBConnection methods used by active controllers and/or by called procedures.","PROC:PKG_SM.P_GET_EXCEPTION_REPORT_DATA; PROC:PKG_SM.P_GET_EXCEPTION_REPORT_FORMAT; PROC:PKG_SM.P_INSERT_EXCEPTION_REPORT_FORMAT; PROC:PKG_SM.P_UPDATE_EXCEPTION_REPORT_FORMAT","Migrate to IAS_ZTBL core or dedicated history module"
"T_AU_FAD_REPORTS","Low-Confidence / Needs Verification","No active DBConnection or mapped procedure reference found; could still be used by views, triggers, or unmanaged reporting paths.","","Do not exclude yet; verify via view/trigger/report migration analysis"
"T_AU_IID_ANALYSIS","Confirmed Active","Referenced by DBConnection methods used by active controllers and/or by called procedures.","PROC:PKG_INQ.ADD_ANALYSIS","Migrate to IAS_ZTBL core or dedicated history module"
"T_AU_IID_ASSESSMENT","Confirmed Active","Referenced by DBConnection methods used by active controllers and/or by called procedures.","PROC:PKG_INQ.GET_COMPLAINTS_WITHOUT_ASSESSMENT; PROC:PKG_INQ.GET_COMPLAINT; PROC:PKG_INQ.ADD_ASSESSMENT; PROC:PKG_INQ.GET_IID_TASK_LIST","Migrate to IAS_ZTBL core or dedicated history module"
"T_AU_IID_CASE_STUDY","Confirmed Active","Referenced by DBConnection methods used by active controllers and/or by called procedures.","PROC:PKG_INQ.ADD_CASE_STUDY","Migrate to IAS_ZTBL core or dedicated history module"
"T_AU_IID_COMPLAINANT","Confirmed Active","Referenced by DBConnection methods used by active controllers and/or by called procedures.","PROC:PKG_INQ.P_SAVE_COMPLAINT_IAID; PROC:PKG_INQ.GET_COMPLAINTS; PROC:PKG_INQ.GET_COMPLAINTS_DD; PROC:PKG_INQ.GET_COMPLAINT; PROC:PKG_INQ.GET_IID_TASK_LIST; PROC:PKG_INQ.GET_LATEST_INQUIRY_REPORT_BY_COMPLAINT","Migrate to IAS_ZTBL core or dedicated history module"
"T_AU_IID_COMPLAINT_HDR","Confirmed Active","Referenced by DBConnection methods used by active controllers and/or by called procedures.","DBConnection:IsIidComplaintFinalized; PROC:PKG_INQ.P_CREATE_COMPLAINT_HDR; PROC:PKG_INQ.P_GET_COMPLAINT_HDR; PROC:PKG_INQ.GET_COMPLAINTS; PROC:PKG_INQ.GET_COMPLAINTS_WITHOUT_ASSESSMENT; PROC:PKG_INQ.GET_COMPLAINTS_DD; PROC:PKG_INQ.GET_COMPLAINT; PROC:PKG_INQ.ADD_ASSESSMENT; PROC:PKG_INQ.ADD_HEAD_REVIEW; PROC:PKG_INQ.ADD_INV_PLAN; PROC:PKG_INQ.GET_IID_TASK_LIST; PROC:PKG_INQ.ADD_PLAN_APPROVAL","Migrate to IAS_ZTBL core or dedicated history module"
"T_AU_IID_COMPLAINT_IAID","Confirmed Active","Referenced by DBConnection methods used by active controllers and/or by called procedures.","PROC:PKG_INQ.GET_COMPLAINTS; PROC:PKG_INQ.GET_COMPLAINTS_WITHOUT_ASSESSMENT; PROC:PKG_INQ.GET_COMPLAINTS_DD; PROC:PKG_INQ.GET_COMPLAINT; PROC:PKG_INQ.GET_IID_TASK_LIST; PROC:PKG_INQ.GET_LATEST_INQUIRY_REPORT_BY_COMPLAINT; PROC:PKG_INQ.GET_REPORTS","Migrate to IAS_ZTBL core or dedicated history module"
"T_AU_IID_EXC_ACCOUNT","Low-Confidence / Needs Verification","No active DBConnection or mapped procedure reference found; could still be used by views, triggers, or unmanaged reporting paths.","","Do not exclude yet; verify via view/trigger/report migration analysis"
"T_AU_IID_EXC_ACCOUNT_DOC","Low-Confidence / Needs Verification","No active DBConnection or mapped procedure reference found; could still be used by views, triggers, or unmanaged reporting paths.","","Do not exclude yet; verify via view/trigger/report migration analysis"
"T_AU_IID_EXC_ACCOUNT_TXN","Low-Confidence / Needs Verification","No active DBConnection or mapped procedure reference found; could still be used by views, triggers, or unmanaged reporting paths.","","Do not exclude yet; verify via view/trigger/report migration analysis"
"T_AU_IID_EXC_LOAN","Low-Confidence / Needs Verification","No active DBConnection or mapped procedure reference found; could still be used by views, triggers, or unmanaged reporting paths.","","Do not exclude yet; verify via view/trigger/report migration analysis"
"T_AU_IID_EXC_LOAN_DOC","Low-Confidence / Needs Verification","No active DBConnection or mapped procedure reference found; could still be used by views, triggers, or unmanaged reporting paths.","","Do not exclude yet; verify via view/trigger/report migration analysis"
"T_AU_IID_EXC_LOAN_DOC_IMG","Low-Confidence / Needs Verification","No active DBConnection or mapped procedure reference found; could still be used by views, triggers, or unmanaged reporting paths.","","Do not exclude yet; verify via view/trigger/report migration analysis"
"T_AU_IID_EXC_LOAN_TXN","Low-Confidence / Needs Verification","No active DBConnection or mapped procedure reference found; could still be used by views, triggers, or unmanaged reporting paths.","","Do not exclude yet; verify via view/trigger/report migration analysis"
"T_AU_IID_EXC_REPORT_COL_MST","Low-Confidence / Needs Verification","No active DBConnection or mapped procedure reference found; could still be used by views, triggers, or unmanaged reporting paths.","","Do not exclude yet; verify via view/trigger/report migration analysis"
"T_AU_IID_EXC_REPORT_MST","Low-Confidence / Needs Verification","No active DBConnection or mapped procedure reference found; could still be used by views, triggers, or unmanaged reporting paths.","","Do not exclude yet; verify via view/trigger/report migration analysis"
"T_AU_IID_FINAL_APPROVAL","Low-Confidence / Needs Verification","Referenced in code analysis but only from low-confidence paths.","PROC:PKG_INQ.ADD_FINAL_APPROVAL","Do not exclude yet; verify via view/trigger/report migration analysis"
"T_AU_IID_HEAD_PLAN_APPROVAL","Confirmed Active","Referenced by DBConnection methods used by active controllers and/or by called procedures.","PROC:PKG_INQ.GET_IID_TASK_LIST; PROC:PKG_INQ.ADD_PLAN_APPROVAL","Migrate to IAS_ZTBL core or dedicated history module"
"T_AU_IID_HEAD_REVIEW","Confirmed Active","Referenced by DBConnection methods used by active controllers and/or by called procedures.","PROC:PKG_INQ.ADD_HEAD_REVIEW; PROC:PKG_INQ.GET_IID_TASK_LIST","Migrate to IAS_ZTBL core or dedicated history module"
"T_AU_IID_INQ_ACCUSATIONS","Confirmed Active","Referenced by DBConnection methods used by active controllers and/or by called procedures.","PROC:PKG_INQ.GET_LATEST_INQUIRY_REPORT_BY_COMPLAINT; PROC:PKG_INQ.P_GET_INQ_ACCUSATIONS; PROC:PKG_INQ.P_ADD_INQ_ACCUSATION; PROC:PKG_INQ.P_UPDATE_INQ_ACCUSATION; PROC:PKG_INQ.P_DELETE_INQ_ACCUSATION; PROC:PKG_INQ.GET_INQ_FIND_RECOMM_STATUS","Migrate to IAS_ZTBL core or dedicated history module"
