"ObjectName","Status","Reason","Evidence","ProposedAction"
"T_AU_IID_INQ_FIND_RECOMM","Confirmed Active","Referenced by DBConnection methods used by active controllers and/or by called procedures.","PROC:PKG_INQ.GET_LATEST_INQUIRY_REPORT_BY_COMPLAINT; PROC:PKG_INQ.GET_INQ_FINDINGS_RECOMM; PROC:PKG_INQ.SAVE_INQ_FINDINGS_RECOMM; PROC:PKG_INQ.GET_INQ_FIND_RECOMM_STATUS","Migrate to IAS_ZTBL core or dedicated history module"
"T_AU_IID_INQ_PROCEEDINGS","Confirmed Active","Referenced by DBConnection methods used by active controllers and/or by called procedures.","PROC:PKG_INQ.P_GET_INQ_PROCEEDINGS; PROC:PKG_INQ.P_SAVE_INQ_PROCEEDING; PROC:PKG_INQ.P_DELETE_INQ_PROCEEDING","Migrate to IAS_ZTBL core or dedicated history module"
"T_AU_IID_INQ_RECORD_SCRUTINIZED","Confirmed Active","Referenced by DBConnection methods used by active controllers and/or by called procedures.","PROC:PKG_INQ.GET_LATEST_INQUIRY_REPORT_BY_COMPLAINT; PROC:PKG_INQ.P_GET_INQ_RECORDS; PROC:PKG_INQ.P_ADD_INQ_RECORD; PROC:PKG_INQ.P_UPDATE_INQ_RECORD; PROC:PKG_INQ.P_DELETE_INQ_RECORD","Migrate to IAS_ZTBL core or dedicated history module"
"T_AU_IID_INQ_STATEMENTS","Confirmed Active","Referenced by DBConnection methods used by active controllers and/or by called procedures.","PROC:PKG_INQ.GET_LATEST_INQUIRY_REPORT_BY_COMPLAINT; PROC:PKG_INQ.P_GET_INQ_STATEMENTS; PROC:PKG_INQ.P_ADD_INQ_STATEMENT; PROC:PKG_INQ.P_DELETE_INQ_STATEMENT","Migrate to IAS_ZTBL core or dedicated history module"
"T_AU_IID_INQ_VIOLATIONS","Confirmed Active","Referenced by DBConnection methods used by active controllers and/or by called procedures.","PROC:PKG_INQ.P_GET_INQ_VIOLATIONS; PROC:PKG_INQ.P_ADD_INQ_VIOLATION; PROC:PKG_INQ.P_UPDATE_INQ_VIOLATION; PROC:PKG_INQ.P_DELETE_INQ_VIOLATION","Migrate to IAS_ZTBL core or dedicated history module"
"T_AU_IID_INV_PLAN","Confirmed Active","Referenced by DBConnection methods used by active controllers and/or by called procedures.","PROC:PKG_INQ.ADD_INV_PLAN; PROC:PKG_INQ.GET_IID_TASK_LIST; PROC:PKG_INQ.P_GET_COMPLAINT_ID_BY_PLAN; PROC:PKG_INQ.GET_INV_PLAN; PROC:PKG_INQ.GET_LATEST_PLAN_BY_COMPLAINT; PROC:PKG_INQ.ADD_PLAN_APPROVAL","Migrate to IAS_ZTBL core or dedicated history module"
"T_AU_IID_REPORT","Confirmed Active","Referenced by DBConnection methods used by active controllers and/or by called procedures.","PROC:PKG_INQ.GET_IID_TASK_LIST; PROC:PKG_INQ.P_GET_COMPLAINT_ID_BY_REPORT; PROC:PKG_INQ.ADD_INQUIRY_REPORT; PROC:PKG_INQ.ADD_ANALYSIS; PROC:PKG_INQ.ADD_FINAL_APPROVAL; PROC:PKG_INQ.GET_INQUIRY_REPORT; PROC:PKG_INQ.GET_REPORTS","Migrate to IAS_ZTBL core or dedicated history module"
"T_AU_IID_STATUS_MST","Confirmed Active","Referenced by DBConnection methods used by active controllers and/or by called procedures.","PROC:PKG_INQ.GET_COMPLAINTS_DD","Migrate to IAS_ZTBL core or dedicated history module"
"T_AU_NEW_PARAS_STATUS_CHANGE_LOG","Confirmed Active","Referenced by DBConnection methods used by active controllers and/or by called procedures.","PROC:PKG_FAD.P_GETNEWPARASFORRESPONSEAUTHORIZE; PROC:PKG_FAD.P_AUTHORIZECHANGESTATUSREQUESTFORSETTLEDPARA_NEW; PROC:PKG_HD.P_GETNEWPARASFORRESPONSE; PROC:PKG_HD.P_GETNEWPARASFORRESPONSE_REVIEWER; PROC:PKG_HD.P_CHANGESTATUSREQUESTFORSETTLEDPARA_NEW_REVIEWER; PROC:PKG_HD.P_CHANGESTATUSREQUESTFORSETTLEDPARA_NEW","Migrate to IAS_ZTBL core or dedicated history module"
"T_AU_OBSERVATION","Confirmed Active","Referenced by DBConnection methods used by active controllers and/or by called procedures.","PROC:PKG_AD.P_APPROVE_CHECKLIST_BY_AUTHORIZER; PROC:PKG_AD.P_GET_AUDIT_OBSERVTION; PROC:PKG_AD.P_GET_DUPLICATE_CHECKLIST_DETAILS_COUNT; PROC:PKG_AD.P_AUTHORIZE_DUPLICATE_CHECKLIST_DETAILS; PROC:PKG_AD.P_AUDIT_OBSERVATION_REVERSAL; PROC:PKG_AD.P_ADD_ENTITY_SHIFTING; PROC:PKG_AD.P_SHIFT_BR_TO_ISLAMIC; PROC:PKG_AD.P_GET_OBSERVVATION_NO; PROC:PKG_AD.P_UPDATE_OBSERVATION_NO; PROC:PKG_AD.P_UPDATE_ANNEXURE; PROC:PKG_AD.P_ADD_BRANCH_RISK_RATING; PROC:PKG_AE.P_GETASSIGNEDOBSERVATIONS","Migrate to IAS_ZTBL core or dedicated history module"
"T_AU_OBSERVATION_ASSIGNEDTO","Confirmed Active","Referenced by DBConnection methods used by active controllers and/or by called procedures.","PROC:PKG_AD.P_GET_AUDIT_OBSERVTION; PROC:PKG_AD.P_AUDIT_OBSERVATION_REVERSAL; PROC:PKG_AD.P_SHIFT_BR_TO_ISLAMIC; PROC:PKG_AE.P_GETASSIGNEDOBSERVATIONS; PROC:PKG_AE.P_GETASSIGNEDOBSERVATIONSFORBRANCH; PROC:PKG_AE.P_AUDITEE_OBSERVATION_RESPONSE; PROC:PKG_AE.P_GETAUDITEEASSIGNEDENTITIES; PROC:PKG_AR.P_SUBMITAUDITOBSERVATIONTOAUDITEE; PROC:PKG_FAD.P_PARA_SHIFTING; PROC:PKG_FAD.P_GET_AUDIT_OBSERVTION","Migrate to IAS_ZTBL core or dedicated history module"
"T_AU_OBSERVATION_FINAL_RECCOMENDATION","Confirmed Active","Referenced by DBConnection methods used by active controllers and/or by called procedures.","PROC:PKG_FAD.P_GET_AUDIT_OBSERVTION; PROC:PKG_FRPT.P_GET_OBSERVATION_DETAILS; PROC:PKG_FRPT.R_GETAUDITEEPARAS; PROC:PKG_HD.P_GET_AUDIT_PRE_CONCLUDING; PROC:PKG_HD.P_GET_OBSERVATION_DETAILS_FROM_ID_PRE_CON; PROC:PKG_HD.P_GET_OBSERVATION_DETAILS_FROM_ID_PRE_CON_HO","Migrate to IAS_ZTBL core or dedicated history module"
"T_AU_OBSERVATION_GIST","Confirmed Active","Referenced by DBConnection methods used by active controllers and/or by called procedures.","PROC:PKG_HD.P_GET_AUDIT_PRE_CONCLUDING; PROC:PKG_HD.P_AUDIT_PRE_SUBMISSION; PROC:PKG_HD.P_GET_OBSERVATION_DETAILS_FROM_ID_PRE_CON; PROC:PKG_HD.P_GET_OBSERVATION_DETAILS_FROM_ID_PRE_CON_HO","Migrate to IAS_ZTBL core or dedicated history module"
"T_AU_OBSERVATION_MAN","Confirmed Active","Referenced by DBConnection methods used by active controllers and/or by called procedures.","PROC:PKG_HD.P_AUDIT_CONCLUDING","Migrate to IAS_ZTBL core or dedicated history module"
"T_AU_OBSERVATION_OLD_CAD_PARAS","Confirmed Active","Referenced by DBConnection methods used by active controllers and/or by called procedures.","PROC:PKG_AD.P_ADD_ENTITY_SHIFTING; PROC:PKG_AE.P_GETAUDITEEOLDPARAS; PROC:PKG_AE.P_UPDATEOLDPARAMANAGEMENT; PROC:PKG_AE.P_UPDATEAUDITEEOLDPARASRESPONSE; PROC:PKG_AE.P_GETPARASFORCOMPLIANCEBYAUDITEE_TEXT; PROC:PKG_AE.P_SUBMITPOSTAUDITCOMPLIANCE; PROC:PKG_AE.P_SUBMITPOSTAUDITCOMPLIANCE_REVIEW; PROC:PKG_AR.P_GETENTITIESFORLEGACYPARA; PROC:PKG_AR.P_GETENTITIESFORLEGACYPARA_HO; PROC:PKG_AR.P_GETENTITIESFORLEGACYPARA_HO_REPORT; PROC:PKG_AR.P_GETLEAGACYOBSERVATIONS; PROC:PKG_AR.P_GETLEAGACYOBSERVATIONS_HO","Migrate to IAS_ZTBL core or dedicated history module"
"T_AU_OBSERVATION_OLD_CAD_PARAS_RESPONSE","Confirmed Active","Referenced by DBConnection methods used by active controllers and/or by called procedures.","PROC:PKG_AE.P_UPDATEAUDITEEOLDPARASRESPONSE","Migrate to IAS_ZTBL core or dedicated history module"
