"RowNo","Owner","TableName","ColumnId","ColumnName","DataType","DataLength","Nullable","ConstraintName","ConstraintDesc","TriggerName","TriggeringEvent","TriggerStatus"
"45","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE","18","PARA_ADDED_ON","DATE","7","Y",,,,,
"46","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE","19","CAU_STATUS","NUMBER","22","Y",,,,,
"47","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE","20","CAU_ASSIGNED_ENT_ID","NUMBER","22","Y",,,,,
"48","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE","21","BR_RESPONSE_BY","NUMBER","22","Y",,,,,
"49","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE","22","BR_RESPONSE_ON","DATE","7","Y",,,,,
"50","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE","23","CAU_ASSIGNED_BY","NUMBER","22","Y",,,,,
"51","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE","24","CAU_ASSIGNED_ON","DATE","7","Y",,,,,
"52","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE","25","SETTLEMENT_COM_REVIEWED_BY","NUMBER","22","Y",,,,,
"53","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE","26","SETTLEMENT_COM_REVIEWED_ON","DATE","7","Y",,,,,
"54","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE","27","RISK","NUMBER","22","Y",,,,,
"55","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE","28","ANNEX","NUMBER","22","Y",,,,,
"56","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE","29","NO_OF_INSTANCES","NUMBER","22","Y",,,,,
"57","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE","30","ANNEX_REF_ID","NUMBER","22","Y",,,,,
"58","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE","31","AMOUNT","VARCHAR2","200","Y",,,,,
"59","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE","32","REFERENCE_REVIEWED","NUMBER","22","Y",,,,,
"60","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE_23_PARAS","1","COM_ID","NUMBER","22","Y",,,,,
"61","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE_23_PARAS","2","OLD_PARA_ID","NUMBER","22","Y",,,,,
"62","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE_23_PARAS","3","NEW_PARA_ID","NUMBER","22","Y",,,,,
"63","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE_23_PARAS","4","AUDIT_PERIOD","VARCHAR2","500","Y",,,,,
"64","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE_23_PARAS","5","ENTITY_ID","NUMBER","22","Y",,,,,
"65","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE_23_PARAS","6","ENTITY_CODE","NUMBER","22","Y",,,,,
"66","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE_23_PARAS","7","AUDITED_BY","NUMBER","22","Y",,,,,
"67","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE_23_PARAS","8","ENTITY_TYPE_ID","NUMBER","22","Y",,,,,
"68","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE_23_PARAS","9","COM_CYCLE","NUMBER","22","Y",,,,,
"69","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE_23_PARAS","10","COM_STATUS","NUMBER","22","Y",,,,,
"70","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE_23_PARAS","11","COM_STAGE","NUMBER","22","Y",,,,,
"71","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE_23_PARAS","12","PARA_STATUS","NUMBER","22","Y",,,,,
"72","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE_23_PARAS","13","PARA_NO","VARCHAR2","500","Y",,,,,
"73","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE_23_PARAS","14","GIST_OF_PARAS","VARCHAR2","4000","Y",,,,,
"74","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE_23_PARAS","15","SETTELED_ON","DATE","7","Y",,,,,
"75","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE_23_PARAS","16","SETTELED_BY","NUMBER","22","Y",,,,,
"76","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE_23_PARAS","17","IND","VARCHAR2","500","Y",,,,,
"77","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE_23_PARAS","18","PARA_ADDED_ON","DATE","7","Y",,,,,
"78","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE_23_PARAS","19","CAU_STATUS","NUMBER","22","Y",,,,,
"79","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE_23_PARAS","20","CAU_ASSIGNED_ENT_ID","NUMBER","22","Y",,,,,
"80","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE_BACKUP","1","COM_ID","NUMBER","22","Y",,,,,
"81","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE_BACKUP","2","OLD_PARA_ID","NUMBER","22","Y",,,,,
"82","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE_BACKUP","3","NEW_PARA_ID","NUMBER","22","Y",,,,,
"83","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE_BACKUP","4","AUDIT_PERIOD","VARCHAR2","500","Y",,,,,
"84","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE_BACKUP","5","ENTITY_ID","NUMBER","22","Y",,,,,
"85","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE_BACKUP","6","ENTITY_CODE","NUMBER","22","Y",,,,,
"86","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE_BACKUP","7","AUDITED_BY","NUMBER","22","Y",,,,,
"87","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE_BACKUP","8","ENTITY_TYPE_ID","NUMBER","22","Y",,,,,
"88","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE_BACKUP","9","COM_CYCLE","NUMBER","22","Y",,,,,
"89","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE_BACKUP","10","COM_STATUS","NUMBER","22","Y",,,,,
"90","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE_BACKUP","11","COM_STAGE","NUMBER","22","Y",,,,,
"91","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE_BACKUP","12","PARA_STATUS","NUMBER","22","Y",,,,,
"92","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE_BACKUP","13","PARA_NO","VARCHAR2","500","Y",,,,,
"93","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE_BACKUP","14","GIST_OF_PARAS","VARCHAR2","4000","Y",,,,,
"94","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE_BACKUP","15","SETTELED_ON","DATE","7","Y",,,,,
"95","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE_BACKUP","16","SETTELED_BY","NUMBER","22","Y",,,,,
"96","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE_BACKUP","17","IND","VARCHAR2","500","Y",,,,,
"97","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE_BACKUP","18","PARA_ADDED_ON","DATE","7","Y",,,,,
"98","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE_BACKUP_23082024","1","COM_ID","NUMBER","22","Y",,,,,
"99","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE_BACKUP_23082024","2","OLD_PARA_ID","NUMBER","22","Y",,,,,
"100","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE_BACKUP_23082024","3","NEW_PARA_ID","NUMBER","22","Y",,,,,
"101","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE_BACKUP_23082024","4","AUDIT_PERIOD","VARCHAR2","500","Y",,,,,
"102","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE_BACKUP_23082024","5","ENTITY_ID","NUMBER","22","Y",,,,,
"103","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE_BACKUP_23082024","6","ENTITY_CODE","NUMBER","22","Y",,,,,
"104","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE_BACKUP_23082024","7","AUDITED_BY","NUMBER","22","Y",,,,,
"105","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE_BACKUP_23082024","8","ENTITY_TYPE_ID","NUMBER","22","Y",,,,,
"106","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE_BACKUP_23082024","9","COM_CYCLE","NUMBER","22","Y",,,,,
"107","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE_BACKUP_23082024","10","COM_STATUS","NUMBER","22","Y",,,,,
"108","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE_BACKUP_23082024","11","COM_STAGE","NUMBER","22","Y",,,,,
"109","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE_BACKUP_23082024","12","PARA_STATUS","NUMBER","22","Y",,,,,
"110","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE_BACKUP_23082024","13","PARA_NO","VARCHAR2","500","Y",,,,,
"111","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE_BACKUP_23082024","14","GIST_OF_PARAS","VARCHAR2","4000","Y",,,,,
"112","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE_BACKUP_23082024","15","SETTELED_ON","DATE","7","Y",,,,,
"113","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE_BACKUP_23082024","16","SETTELED_BY","NUMBER","22","Y",,,,,
"114","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE_BACKUP_23082024","17","IND","VARCHAR2","500","Y",,,,,
"115","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE_BACKUP_23082024","18","PARA_ADDED_ON","DATE","7","Y",,,,,
"116","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE_EVIDENCE","1","ID","NUMBER","22","N","SYS_C001093163","CHECK",,,
"117","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE_EVIDENCE","2","FILE_NAME","VARCHAR2","100","N","SYS_C001093164","CHECK",,,
"118","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE_EVIDENCE","3","LENGTH","NUMBER","22","N","SYS_C001093165","CHECK",,,
"119","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE_EVIDENCE","4","TEXTID","NUMBER","22","N","SYS_C001093166","CHECK",,,
"120","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE_EVIDENCE","5","ENTEREDBY","NUMBER","22","N","SYS_C001093167","CHECK",,,
"121","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE_EVIDENCE","6","ENTEREDDATE","DATE","7","N","SYS_C001093168","CHECK",,,
"122","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE_EVIDENCE","7","LASTUPDATEDBY","NUMBER","22","Y",,,,,
"123","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE_EVIDENCE","8","LASTUPDATEDDATE","DATE","7","Y",,,,,
"124","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE_EVIDENCE","9","SEQUENCE","NUMBER","22","N","SYS_C001093169","CHECK",,,
"125","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE_EVIDENCE","10","DESCRIPTION","VARCHAR2","250","Y",,,,,
"126","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE_EVIDENCE","11","COMP_ID","NUMBER","22","Y",,,,,
"127","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE_EVIDENCE","12","FILE_DATA","CLOB","4000","Y",,,,,
"128","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE_EVIDENCE_ARCHIVE","1","ID","NUMBER","22","N","SYS_C001093170","CHECK",,,
"129","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE_EVIDENCE_ARCHIVE","2","FILE_NAME","VARCHAR2","100","N","SYS_C001093171","CHECK",,,
"130","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE_EVIDENCE_ARCHIVE","3","LENGTH","NUMBER","22","N","SYS_C001093172","CHECK",,,
"131","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE_EVIDENCE_ARCHIVE","4","TEXTID","NUMBER","22","N","SYS_C001093173","CHECK",,,
"132","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE_EVIDENCE_ARCHIVE","5","ENTEREDBY","NUMBER","22","N","SYS_C001093174","CHECK",,,
"133","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE_EVIDENCE_ARCHIVE","6","ENTEREDDATE","DATE","7","N","SYS_C001093175","CHECK",,,
"134","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE_EVIDENCE_ARCHIVE","7","LASTUPDATEDBY","NUMBER","22","Y",,,,,
"135","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE_EVIDENCE_ARCHIVE","8","LASTUPDATEDDATE","DATE","7","Y",,,,,
"136","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE_EVIDENCE_ARCHIVE","9","SEQUENCE","NUMBER","22","N","SYS_C001093176","CHECK",,,
"137","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE_EVIDENCE_ARCHIVE","10","DESCRIPTION","VARCHAR2","250","Y",,,,,
"138","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE_EVIDENCE_ARCHIVE","11","COMP_ID","NUMBER","22","Y",,,,,
"139","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE_EVIDENCE_ARCHIVE","12","FILE_DATA","CLOB","4000","Y",,,,,
"140","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE_EVIDENCE_CAU","1","ID","NUMBER","22","N","SYS_C001093039","CHECK",,,
"141","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE_EVIDENCE_CAU","2","FILE_NAME","VARCHAR2","100","N","SYS_C001093040","CHECK",,,
"142","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE_EVIDENCE_CAU","3","LENGTH","NUMBER","22","N","SYS_C001093041","CHECK",,,
"143","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE_EVIDENCE_CAU","4","TEXTID","NUMBER","22","N","SYS_C001093042","CHECK",,,
"144","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE_EVIDENCE_CAU","5","ENTEREDBY","NUMBER","22","N","SYS_C001093043","CHECK",,,
"145","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE_EVIDENCE_CAU","6","ENTEREDDATE","DATE","7","N","SYS_C001093044","CHECK",,,
"146","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE_EVIDENCE_CAU","7","LASTUPDATEDBY","NUMBER","22","Y",,,,,
"147","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE_EVIDENCE_CAU","8","LASTUPDATEDDATE","DATE","7","Y",,,,,
"148","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE_EVIDENCE_CAU","9","SEQUENCE","NUMBER","22","N","SYS_C001093045","CHECK",,,
"149","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE_EVIDENCE_CAU","10","DESCRIPTION","VARCHAR2","250","Y",,,,,
"150","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE_EVIDENCE_CAU","11","COMP_ID","NUMBER","22","Y",,,,,
"151","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE_EVIDENCE_CAU","12","FILE_DATA","CLOB","4000","Y",,,,,
"152","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE_FR","1","COM_ID","NUMBER","22","N","SYS_C001098985","CHECK",,,
"153","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE_FR","2","OLD_PARA_ID","NUMBER","22","Y",,,,,
"154","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE_FR","3","NEW_PARA_ID","NUMBER","22","Y",,,,,
"155","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE_FR","4","AUDIT_PERIOD","VARCHAR2","500","Y",,,,,
"156","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE_FR","5","ENTITY_ID","NUMBER","22","Y",,,,,
"157","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE_FR","6","ENTITY_CODE","NUMBER","22","Y",,,,,
"158","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE_FR","7","AUDITED_BY","NUMBER","22","Y",,,,,
"159","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE_FR","8","ENTITY_TYPE_ID","NUMBER","22","Y",,,,,
"160","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE_FR","9","COM_CYCLE","NUMBER","22","Y",,,,,
"161","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE_FR","10","COM_STATUS","NUMBER","22","Y",,,,,
"162","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE_FR","11","COM_STAGE","NUMBER","22","Y",,,,,
"163","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE_FR","12","PARA_STATUS","NUMBER","22","Y",,,,,
"164","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE_FR","13","PARA_NO","VARCHAR2","500","Y",,,,,
"165","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE_FR","14","GIST_OF_PARAS","VARCHAR2","4000","Y",,,,,
"166","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE_FR","15","SETTELED_ON","DATE","7","Y",,,,,
"167","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE_FR","16","SETTELED_BY","NUMBER","22","Y",,,,,
"168","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE_FR","17","IND","VARCHAR2","500","Y",,,,,
"169","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE_FR","18","PARA_ADDED_ON","DATE","7","Y",,,,,
"170","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE_FR","19","CAU_STATUS","NUMBER","22","Y",,,,,
"171","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE_FR","20","CAU_ASSIGNED_ENT_ID","NUMBER","22","Y",,,,,
"172","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE_FR","21","BR_RESPONSE_BY","NUMBER","22","Y",,,,,
"173","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE_FR","22","BR_RESPONSE_ON","DATE","7","Y",,,,,
"174","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE_FR","23","CAU_ASSIGNED_BY","NUMBER","22","Y",,,,,
"175","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE_FR","24","CAU_ASSIGNED_ON","DATE","7","Y",,,,,
"176","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE_FR","25","SETTLEMENT_COM_REVIEWED_BY","NUMBER","22","Y",,,,,
"177","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE_FR","26","SETTLEMENT_COM_REVIEWED_ON","DATE","7","Y",,,,,
"178","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE_FR","27","RISK","NUMBER","22","Y",,,,,
"179","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE_FR","28","ANNEX","NUMBER","22","Y",,,,,
"180","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE_FR","29","NO_OF_INSTANCES","NUMBER","22","Y",,,,,
"181","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE_FR","30","ANNEX_REF_ID","NUMBER","22","Y",,,,,
"182","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE_FR","31","AMOUNT","VARCHAR2","200","Y",,,,,
"183","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE_FR","32","REFERENCE_REVIEWED","NUMBER","22","Y",,,,,
"184","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE_HISTORY","1","HIST_ID","NUMBER","22","Y",,,,,
"185","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE_HISTORY","2","COM_ID","NUMBER","22","Y",,,,,
"186","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE_HISTORY","3","COM_CYCLE","NUMBER","22","Y",,,,,
"187","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE_HISTORY","4","COM_STATUS","NUMBER","22","Y",,,,,
"188","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE_HISTORY","5","COM_STAGE","NUMBER","22","Y",,,,,
"189","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE_HISTORY","6","COMMENT_BY_ROLE","VARCHAR2","500","Y",,,,,
"190","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE_HISTORY","7","COMMENT_BY_PPNO","NUMBER","22","Y",,,,,
"191","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE_HISTORY","8","COMMENT_ON","DATE","7","Y",,,,,
"192","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE_HISTORY","9","COMMENTS","VARCHAR2","1000","Y",,,,,
"193","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE_HISTORY","10","COM_FLOW","VARCHAR2","2","Y",,,,,
"194","ZTBLAIS_PROD","AIS_T_AU_POST_COMPLIANCE_HISTORY_BACKUP","1","HIST_ID","NUMBER","22","Y",,,,,
