JS file,View/layout using it,JS function/event,API URL,HTTP method,Controller/action,Controller parameters,JS parameters,DBConnection method,Package/procedure,Package spec exists,Package body exists,DB hardening,Status,Issue found,Recommended fix
AIS\wwwroot\js\csp\Views_AdministrationPanel_audit_comp_management.js:87,AIS\Views\AdministrationPanel\audit_comp_management.cshtml:104,updateComplianceOffice,/ApiCalls/update_compliance_office,POST,ApiCalls.update_compliance_office,"ENT_ID_ARR, AUD_ID, COMP_ID","AUD_ID, COMP_ID, ENT_ID_ARR, option",UpdateComplianceUnit,pkg_ad.P_UPDATE_ENTITY_COMP,Yes,Yes,StoredProcedure=Yes; BindByName=Yes; Guard=Yes; UsingCon=Yes; UsingCmd=Yes; UsingReader=Yes; SessionBeforeConnection=Yes,Needs manual review,Controller uses complex model binding; JS data keys require model-level verification.,Confirm JS data keys match the bound request/model properties.
AIS\wwwroot\js\csp\Views_AdministrationPanel_audit_criteria.js:62,AIS\Views\AdministrationPanel\audit_criteria.cshtml:12,publishBranchChanges,/Setup/branch_add,POST,Setup.branch_add,br,"BRANCHCODE, BRANCHID, BRANCHNAME, BRANCH_SIZE, BRANCH_SIZE_ID, ISACTIVE, ZONEID, ZONE_NAME",AddBranch,,,,,Broken,Controller calls a DBConnection method that is not active or not indexed. | Controller uses complex model binding; JS data keys require model-level verification.,Confirm JS data keys match the bound request/model properties. | Restore active DBConnection method or redirect controller to the replacement method.
AIS\wwwroot\js\csp\Views_AdministrationPanel_audit_criteria.js:62,AIS\Views\AdministrationPanel\audit_criteria.cshtml:12,publishBranchChanges,/Setup/branch_add,POST,Setup.branch_add,br,"BRANCHCODE, BRANCHID, BRANCHNAME, BRANCH_SIZE, BRANCH_SIZE_ID, ISACTIVE, ZONEID, ZONE_NAME",UpdateBranch,,,,,Broken,Controller calls a DBConnection method that is not active or not indexed. | Controller uses complex model binding; JS data keys require model-level verification.,Confirm JS data keys match the bound request/model properties. | Restore active DBConnection method or redirect controller to the replacement method.
AIS\wwwroot\js\csp\Views_AdministrationPanel_authorize_auditee_entities_update.js:8,AIS\Views\AdministrationPanel\authorize_auditee_entities_update.cshtml:82; AIS\Views\AdministrationPanel\DashboardPartials\_AuthorizeAuditeeEntitiesUpdate.cshtml:75,loadPending,/ApiCalls/GetAuditeeEntitiesPendingAuthorization,POST,ApiCalls.GetAuditeeEntitiesPendingAuthorization,,,GetAuditeeEntitiesForAuthorization,pkg_ad.P_GetEntitees_for_update_authorization,Yes,Yes,StoredProcedure=Yes; BindByName=Yes; Guard=Yes; UsingCon=Yes; UsingCmd=Yes; UsingReader=Yes; SessionBeforeConnection=Yes,Verified,,
AIS\wwwroot\js\csp\Views_AdministrationPanel_authorize_auditee_entities_update.js:46,AIS\Views\AdministrationPanel\authorize_auditee_entities_update.cshtml:82; AIS\Views\AdministrationPanel\DashboardPartials\_AuthorizeAuditeeEntitiesUpdate.cshtml:75,openCompare,/ApiCalls/GetAuditeeEntityByIdforAuthorization,POST,ApiCalls.GetAuditeeEntityByIdforAuthorization,ENTITY_ID,ENTITY_ID,GetAuditeeEntitiesForUpdateForAuthorization,pkg_ad.P_GetEntitees_for_update_comp,Yes,Yes,StoredProcedure=Yes; BindByName=Yes; Guard=Yes; UsingCon=Yes; UsingCmd=Yes; UsingReader=Yes; SessionBeforeConnection=Yes,Verified,,
AIS\wwwroot\js\csp\Views_AdministrationPanel_authorize_auditee_entities_update.js:88,AIS\Views\AdministrationPanel\authorize_auditee_entities_update.cshtml:82; AIS\Views\AdministrationPanel\DashboardPartials\_AuthorizeAuditeeEntitiesUpdate.cshtml:75,authorizeCurrent,/ApiCalls/UpdateAuditeeEntity,POST,ApiCalls.UpdateAuditeeEntity,"ENTITY_MODEL, IND","ENTITY_MODEL, IND",UpdateAuditeeEntity,pkg_ad.P_UPDATE_ENTITIES,Yes,Yes,StoredProcedure=Yes; BindByName=Yes; Guard=Yes; UsingCon=Yes; UsingCmd=Yes; UsingReader=Yes; SessionBeforeConnection=Yes,Needs manual review,Controller uses complex model binding; JS data keys require model-level verification.,Confirm JS data keys match the bound request/model properties.
AIS\wwwroot\js\csp\Views_AdministrationPanel_authorize_auditee_entities_update.js:104,AIS\Views\AdministrationPanel\authorize_auditee_entities_update.cshtml:82; AIS\Views\AdministrationPanel\DashboardPartials\_AuthorizeAuditeeEntitiesUpdate.cshtml:75,rejectCurrent,/ApiCalls/UpdateAuditeeEntity,POST,ApiCalls.UpdateAuditeeEntity,"ENTITY_MODEL, IND","ENTITY_MODEL, IND",UpdateAuditeeEntity,pkg_ad.P_UPDATE_ENTITIES,Yes,Yes,StoredProcedure=Yes; BindByName=Yes; Guard=Yes; UsingCon=Yes; UsingCmd=Yes; UsingReader=Yes; SessionBeforeConnection=Yes,Needs manual review,Controller uses complex model binding; JS data keys require model-level verification.,Confirm JS data keys match the bound request/model properties.
AIS\wwwroot\js\csp\Views_AdministrationPanel_authorize_audit_checklist.js:15,AIS\Views\AdministrationPanel\authorize_audit_checklist.cshtml:168,recommendReferProcTransaction,/Setup/process_transactions,POST,Setup.process_transactions,"ProcessDetailId, transactionId",transactionId,GetRiskProcessTransactions,pkg_ad.P_GetRiskProcessTransactions,Yes,Yes,StoredProcedure=Yes; BindByName=Yes; Guard=Yes; UsingCon=Yes; UsingCmd=Yes; UsingReader=Yes; SessionBeforeConnection=N/A,Verified,,
AIS\wwwroot\js\csp\Views_AdministrationPanel_authorize_audit_checklist.js:53,AIS\Views\AdministrationPanel\authorize_audit_checklist.cshtml:168,finalRecommendProcessTransaction,/Setup/recommend_process_transaction_by_authorizer,POST,,,"COMMENTS, T_ID",,,,,,Broken,API URL does not map to an active controller action.,Correct the JS endpoint or add/restore an active controller action only if this flow is still used.
AIS\wwwroot\js\csp\Views_AdministrationPanel_authorize_audit_checklist.js:70,AIS\Views\AdministrationPanel\authorize_audit_checklist.cshtml:168,finalRefferedBackProcessTransaction,/Setup/reffered_back_process_transaction_by_authorizer,POST,Setup.reffered_back_process_transaction_by_authorizer,"T_ID, COMMENTS","COMMENTS, T_ID",RefferedBackProcessTransactionByAuthorizer,pkg_ad.p_RefferedBack_checklist_By_Authorizer,Yes,Yes,StoredProcedure=Yes; BindByName=Yes; Guard=Yes; UsingCon=Yes; UsingCmd=Yes; UsingReader=Yes; SessionBeforeConnection=Yes,Verified,,
AIS\wwwroot\js\csp\Views_AdministrationPanel_catalog_uploads.js:14,AIS\Views\AdministrationPanel\catalog_uploads.cshtml:79,validateCatalog,/Administration/Catalog/Validate,POST,Catalog.Validate,"file, catalogType",,,,,,,Verified,,
AIS\wwwroot\js\csp\Views_AdministrationPanel_catalog_uploads.js:47,AIS\Views\AdministrationPanel\catalog_uploads.cshtml:79,applyCatalog,/Administration/Catalog/Apply,POST,Catalog.Apply,"catalogType, token",,,,,,,Verified,,
AIS\wwwroot\js\csp\Views_AdministrationPanel_compliance_flow.js:15,AIS\Views\AdministrationPanel\compliance_flow.cshtml:182,entityTypeSelectionChangeEvent,/ApiCalls/get_compliance_flow_by_entity_type,POST,ApiCalls.get_compliance_flow_by_entity_type,"ENTITY_TYPE_ID, GROUP_ID",ENTITY_TYPE_ID,GetComplianceFlowByEntityType,pkg_ad.P_get_entity_type_compliance_flow,Yes,Yes,StoredProcedure=Yes; BindByName=Yes; Guard=Yes; UsingCon=Yes; UsingCmd=Yes; UsingReader=Yes; SessionBeforeConnection=Yes,Verified,,
AIS\wwwroot\js\csp\Views_AdministrationPanel_compliance_flow.js:57,AIS\Views\AdministrationPanel\compliance_flow.cshtml:182,addComplianceWorkFlow,/ApiCalls/add_compliance_flow,POST,ApiCalls.add_compliance_flow,"ID, ENTITY_TYPE_ID, GROUP_ID, PREV_GROUP_ID, NEXT_GROUP_ID, COMP_UP_STATUS, COMP_DOWN_STATUS","COMP_DOWN_STATUS, COMP_UP_STATUS, ENTITY_TYPE_ID, GROUP_ID, ID, NEXT_GROUP_ID, PREV_GROUP_ID, option",AddComplianceFlow,pkg_ad.P_ADD_UPDATE_COMPLIANCE_FLOW,Yes,Yes,StoredProcedure=Yes; BindByName=Yes; Guard=Yes; UsingCon=Yes; UsingCmd=Yes; UsingReader=Yes; SessionBeforeConnection=Yes,Needs manual review,JS sends parameters not present in controller signature: option,Remove unused JS data keys or add explicit controller parameters if expected.
AIS\wwwroot\js\csp\Views_AdministrationPanel_compliance_flow.js:101,AIS\Views\AdministrationPanel\compliance_flow.cshtml:182,updateComplianceFlow,/ApiCalls/get_compliance_flow_by_entity_type,POST,ApiCalls.get_compliance_flow_by_entity_type,"ENTITY_TYPE_ID, GROUP_ID","ENTITY_TYPE_ID, GROUP_ID",GetComplianceFlowByEntityType,pkg_ad.P_get_entity_type_compliance_flow,Yes,Yes,StoredProcedure=Yes; BindByName=Yes; Guard=Yes; UsingCon=Yes; UsingCmd=Yes; UsingReader=Yes; SessionBeforeConnection=Yes,Verified,,
AIS\wwwroot\js\csp\Views_AdministrationPanel_dashboard_layout.js:14,AIS\Views\AdministrationPanel\dashboard_layout.cshtml:88,loadDashboardLayout,/Administration/DashboardLayout/GetByRole,GET,DashboardLayout.GetByRole,roleId,roleId,GetRoleDashboardConfig,PKG_AD.P_GET_ROLE_DASHBOARD_CONFIG,Yes,Yes,StoredProcedure=Yes; BindByName=Yes; Guard=No; UsingCon=Yes; UsingCmd=Yes; UsingReader=Yes; SessionBeforeConnection=N/A,Broken,DBConnection hardening missing: GuardAgainstDynamicSql(cmd),Add the missing DBConnection hardening statements around the OracleCommand.
AIS\wwwroot\js\csp\Views_AdministrationPanel_dashboard_layout.js:38,AIS\Views\AdministrationPanel\dashboard_layout.cshtml:88,loadAvailableDashboardPages,/Administration/DashboardLayout/GetAvailablePages,GET,DashboardLayout.GetAvailablePages,roleId,roleId,GetRoleDashboardConfig,PKG_AD.P_GET_ROLE_DASHBOARD_CONFIG,Yes,Yes,StoredProcedure=Yes; BindByName=Yes; Guard=No; UsingCon=Yes; UsingCmd=Yes; UsingReader=Yes; SessionBeforeConnection=N/A,Broken,DBConnection hardening missing: GuardAgainstDynamicSql(cmd),Add the missing DBConnection hardening statements around the OracleCommand.
AIS\wwwroot\js\csp\Views_AdministrationPanel_dashboard_layout.js:38,AIS\Views\AdministrationPanel\dashboard_layout.cshtml:88,loadAvailableDashboardPages,/Administration/DashboardLayout/GetAvailablePages,GET,DashboardLayout.GetAvailablePages,roleId,roleId,GetRoleDashboardPages,PKG_AD.P_GET_ROLE_DASHBOARD_PAGES,Yes,Yes,StoredProcedure=Yes; BindByName=Yes; Guard=No; UsingCon=Yes; UsingCmd=Yes; UsingReader=Yes; SessionBeforeConnection=N/A,Broken,DBConnection hardening missing: GuardAgainstDynamicSql(cmd),Add the missing DBConnection hardening statements around the OracleCommand.
AIS\wwwroot\js\csp\Views_AdministrationPanel_dashboard_layout.js:72,AIS\Views\AdministrationPanel\dashboard_layout.cshtml:88,getDashboardSubMenus,/ApiCalls/get_sub_menu_for_admin_panel,POST,ApiCalls.get_sub_menu_for_admin_panel,M_ID,M_ID,GetSubMenusForAdminPanel,pkg_ad.P_GET_SUB_MENUS,Yes,Yes,StoredProcedure=Yes; BindByName=Yes; Guard=Yes; UsingCon=Yes; UsingCmd=Yes; UsingReader=Yes; SessionBeforeConnection=Yes,Verified,,
AIS\wwwroot\js\csp\Views_AdministrationPanel_dashboard_layout.js:102,AIS\Views\AdministrationPanel\dashboard_layout.cshtml:88,loadDashboardMenuPages,/ApiCalls/get_menu_pages_for_admin_panel,POST,ApiCalls.get_menu_pages_for_admin_panel,"M_ID, SM_ID","M_ID, SM_ID",GetMenuPagesForAdminPanel,pkg_ad.P_GET_ALL_PAGES,Yes,Yes,StoredProcedure=Yes; BindByName=Yes; Guard=Yes; UsingCon=Yes; UsingCmd=Yes; UsingReader=Yes; SessionBeforeConnection=Yes,Verified,,
AIS\wwwroot\js\csp\Views_AdministrationPanel_dashboard_layout.js:291,AIS\Views\AdministrationPanel\dashboard_layout.cshtml:88,submitDashboardLayout,/Administration/DashboardLayout/Save,POST,DashboardLayout.Save,items,,GetRoleDashboardConfig,PKG_AD.P_GET_ROLE_DASHBOARD_CONFIG,Yes,Yes,StoredProcedure=Yes; BindByName=Yes; Guard=No; UsingCon=Yes; UsingCmd=Yes; UsingReader=Yes; SessionBeforeConnection=N/A,Broken,DBConnection hardening missing: GuardAgainstDynamicSql(cmd),Add the missing DBConnection hardening statements around the OracleCommand.
AIS\wwwroot\js\csp\Views_AdministrationPanel_dashboard_layout.js:291,AIS\Views\AdministrationPanel\dashboard_layout.cshtml:88,submitDashboardLayout,/Administration/DashboardLayout/Save,POST,DashboardLayout.Save,items,,MaintainRoleDashboardPage,PKG_AD.P_MAINT_ROLE_DASHBOARD_PAGE,Yes,Yes,StoredProcedure=Yes; BindByName=Yes; Guard=No; UsingCon=Yes; UsingCmd=Yes; UsingReader=Yes; SessionBeforeConnection=N/A,Broken,DBConnection hardening missing: GuardAgainstDynamicSql(cmd),Add the missing DBConnection hardening statements around the OracleCommand.
AIS\wwwroot\js\csp\Views_AdministrationPanel_entity_addition.js:27,AIS\Views\AdministrationPanel\entity_addition.cshtml:481; AIS\Views\AdministrationPanel\DashboardPartials\_EntityAddition.cshtml:471,getEntityDetailsByName,/ApiCalls/get_hr_entities_for_admin_panel_entity_addition,POST,ApiCalls.get_hr_entities_for_admin_panel_entity_addition,"ENTITY_NAME, ENTITY_CODE","ENTITY_CODE, ENTITY_NAME",GetHREntitiesForAdminPanelEntityAddition,pkg_ad.P_GET_HR_ENTITIES,Yes,Yes,StoredProcedure=Yes; BindByName=Yes; Guard=Yes; UsingCon=Yes; UsingCmd=Yes; UsingReader=Yes; SessionBeforeConnection=Yes,Verified,,
AIS\wwwroot\js\csp\Views_AdministrationPanel_entity_addition.js:57,AIS\Views\AdministrationPanel\entity_addition.cshtml:481; AIS\Views\AdministrationPanel\DashboardPartials\_EntityAddition.cshtml:471,getEntityDetailsByCode,/ApiCalls/get_hr_entities_for_admin_panel_entity_addition,POST,ApiCalls.get_hr_entities_for_admin_panel_entity_addition,"ENTITY_NAME, ENTITY_CODE","ENTITY_CODE, ENTITY_NAME",GetHREntitiesForAdminPanelEntityAddition,pkg_ad.P_GET_HR_ENTITIES,Yes,Yes,StoredProcedure=Yes; BindByName=Yes; Guard=Yes; UsingCon=Yes; UsingCmd=Yes; UsingReader=Yes; SessionBeforeConnection=Yes,Verified,,
AIS\wwwroot\js\csp\Views_AdministrationPanel_entity_addition.js:83,AIS\Views\AdministrationPanel\entity_addition.cshtml:481; AIS\Views\AdministrationPanel\DashboardPartials\_EntityAddition.cshtml:471,getAISEntityDetailsByName,/ApiCalls/get_ais_entities_for_admin_panel_entity_addition,POST,ApiCalls.get_ais_entities_for_admin_panel_entity_addition,"ENTITY_NAME, ENTITY_CODE, ENT_TYPE_ID","ENTITY_CODE, ENTITY_NAME",GetAISEntitiesForAdminPanelEntityAddition,pkg_ad.P_GET_AIS_ENTITIES,Yes,Yes,StoredProcedure=Yes; BindByName=Yes; Guard=Yes; UsingCon=Yes; UsingCmd=Yes; UsingReader=Yes; SessionBeforeConnection=Yes,Verified,,
AIS\wwwroot\js\csp\Views_AdministrationPanel_entity_addition.js:109,AIS\Views\AdministrationPanel\entity_addition.cshtml:481; AIS\Views\AdministrationPanel\DashboardPartials\_EntityAddition.cshtml:471,getAISEntityDetailsByCode,/ApiCalls/get_ais_entities_for_admin_panel_entity_addition,POST,ApiCalls.get_ais_entities_for_admin_panel_entity_addition,"ENTITY_NAME, ENTITY_CODE, ENT_TYPE_ID","ENTITY_CODE, ENTITY_NAME",GetAISEntitiesForAdminPanelEntityAddition,pkg_ad.P_GET_AIS_ENTITIES,Yes,Yes,StoredProcedure=Yes; BindByName=Yes; Guard=Yes; UsingCon=Yes; UsingCmd=Yes; UsingReader=Yes; SessionBeforeConnection=Yes,Verified,,
AIS\wwwroot\js\csp\Views_AdministrationPanel_entity_addition.js:168,AIS\Views\AdministrationPanel\entity_addition.cshtml:481; AIS\Views\AdministrationPanel\DashboardPartials\_EntityAddition.cshtml:471,saveUpdateChangesInAISEntity,/ApiCalls/update_ais_entity_for_admin_panel_entity_addition,POST,ApiCalls.update_ais_entity_for_admin_panel_entity_addition,"ENTITY_ID, ENTITY_NAME, ENTITY_CODE, AUDITABLE, AUDIT_BY_ID, ENTITY_TYPE_ID, ENT_DESC, STATUS","AUDITABLE, AUDIT_BY_ID, ENTITY_CODE, ENTITY_ID, ENTITY_NAME, ENTITY_TYPE_ID, ENT_DESC, STATUS",UpdateAISEntityForAdminPanelEntityAddition,pkg_ad.P_UpdateENTITIEES,Yes,Yes,StoredProcedure=Yes; BindByName=Yes; Guard=Yes; UsingCon=Yes; UsingCmd=Yes; UsingReader=Yes; SessionBeforeConnection=Yes,Verified,,
AIS\wwwroot\js\csp\Views_AdministrationPanel_entity_addition.js:192,AIS\Views\AdministrationPanel\entity_addition.cshtml:481; AIS\Views\AdministrationPanel\DashboardPartials\_EntityAddition.cshtml:471,saveAddInAISEntity,/ApiCalls/add_ais_entity_for_admin_panel_entity_addition,POST,ApiCalls.add_ais_entity_for_admin_panel_entity_addition,"ENTITY_NAME, ENTITY_CODE, AUDITABLE, AUDIT_BY_ID, ENTITY_TYPE_ID, ENT_DESC, STATUS","AUDITABLE, AUDIT_BY_ID, ENTITY_CODE, ENTITY_ID, ENTITY_NAME, ENTITY_TYPE_ID, ENT_DESC, STATUS",AddAISEntityForAdminPanelEntityAddition,pkg_ad.P_InsertENTITIEES,Yes,Yes,StoredProcedure=Yes; BindByName=Yes; Guard=Yes; UsingCon=Yes; UsingCmd=Yes; UsingReader=Yes; SessionBeforeConnection=Yes,Needs manual review,JS sends parameters not present in controller signature: entity_id,Remove unused JS data keys or add explicit controller parameters if expected.
AIS\wwwroot\js\csp\Views_AdministrationPanel_entity_addition.js:226,AIS\Views\AdministrationPanel\entity_addition.cshtml:481; AIS\Views\AdministrationPanel\DashboardPartials\_EntityAddition.cshtml:471,getEntityExistingMapping,/ApiCalls/get_ais_entity_existing_mapping_for_admin_panel_entity_addition,POST,ApiCalls.get_ais_entity_existing_mapping_for_admin_panel_entity_addition,ENTITY_ID,ENTITY_ID,GetAISEntityMappingForAdminPanelEntityAddition,pkg_ad.P_get_auditee_entities_mapping,Yes,Yes,StoredProcedure=Yes; BindByName=Yes; Guard=Yes; UsingCon=Yes; UsingCmd=Yes; UsingReader=Yes; SessionBeforeConnection=Yes,Verified,,
AIS\wwwroot\js\csp\Views_AdministrationPanel_entity_addition.js:259,AIS\Views\AdministrationPanel\entity_addition.cshtml:481; AIS\Views\AdministrationPanel\DashboardPartials\_EntityAddition.cshtml:471,getEntitiesListByTypeId,/ApiCalls/get_ais_entities_for_admin_panel_entity_addition,POST,ApiCalls.get_ais_entities_for_admin_panel_entity_addition,"ENTITY_NAME, ENTITY_CODE, ENT_TYPE_ID",ENT_TYPE_ID,GetAISEntitiesForAdminPanelEntityAddition,pkg_ad.P_GET_AIS_ENTITIES,Yes,Yes,StoredProcedure=Yes; BindByName=Yes; Guard=Yes; UsingCon=Yes; UsingCmd=Yes; UsingReader=Yes; SessionBeforeConnection=Yes,Broken,"JS data is missing controller parameters: entity_code, entity_name",Add the missing JS data keys or update the controller signature if model binding is intentional.
AIS\wwwroot\js\csp\Views_AdministrationPanel_entity_addition.js:295,AIS\Views\AdministrationPanel\entity_addition.cshtml:481; AIS\Views\AdministrationPanel\DashboardPartials\_EntityAddition.cshtml:471,saveInsertAISEntityMapping,/ApiCalls/add_ais_entity_mapping_for_admin_panel_entity_addition,POST,ApiCalls.add_ais_entity_mapping_for_admin_panel_entity_addition,"P_ENTITY_ID, ENTITY_ID, RELATION_TYPE_ID","ENTITY_ID, P_ENTITY_ID, RELATION_TYPE_ID",AddAISEntityMappingForAdminPanelEntityAddition,pkg_ad.P_ADD_ENTITIES_MAPPING,Yes,Yes,StoredProcedure=Yes; BindByName=Yes; Guard=Yes; UsingCon=Yes; UsingCmd=Yes; UsingReader=Yes; SessionBeforeConnection=Yes,Verified,,
