Source type,Source file,Function/button/event/action name,URL/API endpoint called,Controller name,Controller action method,DBConnection method called,DBConnection file,Package name,Procedure name,Procedure exists in package spec,Procedure exists in package body,Active usage confirmed,"Replacement method/procedure, if any",Final action,Remarks
JS,AIS\wwwroot\js\responsibilitySection.js:419,add_responsible_for_old_paras,/ApiCalls/add_responsible_for_old_paras?IND_Action=,ApiCalls,add_responsible_for_old_paras,AddResponsibilityforoldparas,AIS\DBConnection.FAD.cs,pkg_ar,P_responibilityforoldpara,Yes,Yes,Yes,,Keep,
JS,AIS\wwwroot\js\responsibilitySection.js:434,add_responsible_to_observation,/ApiCalls/add_responsible_to_observation,ApiCalls,add_responsible_to_observation,AddResponsiblePersonsToObservation,AIS\DBConnection.cs,,,,,Yes,,Keep,
JS,AIS\wwwroot\js\responsibilitySectionUpdate.js:128,GetResponsiblePPNOforoldPara,/ApiCalls/GetResponsiblePPNOforoldPara,ApiCalls,GetResponsiblePPNOforoldPara,GetResponsiblePPNOforoldPara,AIS\DBConnection.FAD.cs,pkg_ar,GetResponsiblePPNOforoldPara,Yes,Yes,Yes,,Keep,
JS,AIS\wwwroot\js\responsibilitySectionUpdate.js:151,get_responsibility_for_authorize,/ApiCalls/get_responsibility_for_authorize,ApiCalls,get_responsibility_for_authorize,GetResponsibilityForAuthorize,AIS\DBConnection.FAD.cs,pkg_ar,P_Get_responsibility_for_Authorize,Yes,Yes,Yes,,Keep,
JS,AIS\wwwroot\js\responsibilitySectionUpdate.js:171,get_responsible_person_list,/ApiCalls/get_responsible_person_list,ApiCalls,get_responsible_person_list,GetResponsiblePersonsList,AIS\DBConnection.AR.cs,pkg_ar,P_Get_responsibility,Yes,Yes,Yes,,Keep,
JS,AIS\wwwroot\js\responsibilitySectionUpdate.js:205,get_responsible_by_pp,/ApiCalls/get_responsible_by_pp,ApiCalls,get_responsible_by_pp,GetEmployeeNameFromPPNO,AIS\DBConnection.AR.cs,pkg_ar,P_get_employees_information,Yes,Yes,Yes,,Keep,
JS,AIS\wwwroot\js\responsibilitySectionUpdate.js:246,get_responsible_by_lc,/ApiCalls/get_responsible_by_lc,ApiCalls,get_responsible_by_lc,GetLoanCaseDetailsWithBRCode,AIS\DBConnection.AR.cs,pkg_ar,P_GET_LC_DETAILS,Yes,Yes,Yes,,Keep,
JS,AIS\wwwroot\js\responsibilitySectionUpdate.js:397,add_responsible_for_old_paras,/ApiCalls/add_responsible_for_old_paras?IND_Action=,ApiCalls,add_responsible_for_old_paras,AddResponsibilityforoldparas,AIS\DBConnection.FAD.cs,pkg_ar,P_responibilityforoldpara,Yes,Yes,Yes,,Keep,
JS,AIS\wwwroot\js\responsibilitySectionUpdate.js:479,add_responsible_for_old_paras,/ApiCalls/add_responsible_for_old_paras?IND_Action=,ApiCalls,add_responsible_for_old_paras,AddResponsibilityforoldparas,AIS\DBConnection.FAD.cs,pkg_ar,P_responibilityforoldpara,Yes,Yes,Yes,,Keep,
JS,AIS\wwwroot\js\responsibilitySectionUpdate.js:494,add_responsible_to_observation,/ApiCalls/add_responsible_to_observation,ApiCalls,add_responsible_to_observation,AddResponsiblePersonsToObservation,AIS\DBConnection.cs,,,,,Yes,,Keep,
JS,AIS\wwwroot\js\responsibilitySectionUpdate.js:593,add_responsible_for_old_paras,/ApiCalls/add_responsible_for_old_paras?IND_Action=D,ApiCalls,add_responsible_for_old_paras,AddResponsibilityforoldparas,AIS\DBConnection.FAD.cs,pkg_ar,P_responibilityforoldpara,Yes,Yes,Yes,,Keep,
JS,AIS\wwwroot\js\responsibilitySectionUpdate.js:612,delete_responsible_from_observation,/ApiCalls/delete_responsible_from_observation,ApiCalls,delete_responsible_from_observation,DeleteResponsibilityFromObservation,AIS\DBConnection.cs,pkg_ar,P_Delete_responsibility,Yes,Yes,Yes,,Keep,
JS,AIS\wwwroot\js\site.js:146,SetPageId,/Home/SetPageId,Home,SetPageId,,,,,,,Yes,,Needs manual review,Endpoint did not map to an indexed controller action.
JS,AIS\wwwroot\js\Archive\Views_AdministrationPanel_audit_observation_text.js:57,department_add,/Setup/department_add,Setup,department_add,,,,,,,No,,Needs manual review,Endpoint did not map to an indexed controller action.
JS,AIS\wwwroot\js\Archive\Views_AdministrationPanel_audit_template.js:25,risk_sub_group,/Execution/risk_sub_group,Execution,risk_sub_group,GetRiskSubGroup,AIS\DBConnection.AR.cs,pkg_ar,P_GetRiskSubGroup,Yes,Yes,No,,Keep,
JS,AIS\wwwroot\js\Archive\Views_AdministrationPanel_audit_template.js:49,risk_activities,/Execution/risk_activities,Execution,risk_activities,GetRiskActivities,AIS\DBConnection.AR.cs,pkg_ar,p_GetRiskActivities,Yes,Yes,No,,Keep,
JS,AIS\wwwroot\js\Archive\Views_AdministrationPanel_audit_template.js:72,audit_observation_template,/Execution/audit_observation_template,Execution,audit_observation_template,,,,,,,No,,Needs manual review,Endpoint did not map to an indexed controller action.
JS,AIS\wwwroot\js\Archive\Views_AdministrationPanel_entity_relationship.js:23,menu_pages,/AdministrationPanel/menu_pages,AdministrationPanel,menu_pages,GetAllMenuPages,AIS\DBConnection.AD.cs,pkg_ad,p_GetAllMenuPages,Yes,Yes,No,,Keep,
JS,AIS\wwwroot\js\Archive\Views_AdministrationPanel_entity_relationship.js:54,menu_pages_updation,/ApiCalls/menu_pages_updation,ApiCalls,menu_pages_updation,UpdateMenuPagesAssignment,AIS\DBConnection.AD.cs,pkg_ad,P_updateAllMenuPages,Yes,Yes,No,,Keep,
JS,AIS\wwwroot\js\Archive\Views_AdministrationPanel_entity_relationship.js:75,getparentrel,/ApiCalls/getparentrel,ApiCalls,getparentrel,Getparentrepoffice,AIS\DBConnection.AD.cs,pkg_ad,P_Getparentrepoffice,Yes,Yes,No,,Keep,
JS,AIS\wwwroot\js\Archive\Views_AdministrationPanel_entity_relationship.js:112,getpostplace,/ApiCalls/getpostplace,ApiCalls,getpostplace,Getchildposting,AIS\DBConnection.AD.cs,pkg_ad,P_Getchildposting,Yes,Yes,No,,Keep,
JS,AIS\wwwroot\js\Archive\Views_AdministrationPanel_memo_status.js:57,department_add,/Setup/department_add,Setup,department_add,,,,,,,No,,Needs manual review,Endpoint did not map to an indexed controller action.
JS,AIS\wwwroot\js\Archive\Views_AuditeePortal_old_outstanding_paras.js:5,get_assigned_observation_old_paras,/ApiCalls/get_assigned_observation_old_paras,ApiCalls,get_assigned_observation_old_paras,GetAuditeeOldParas,AIS\DBConnection.AE.cs,pkg_ae,P_GetAuditeeOldParas,Yes,Yes,No,,Keep,
JS,AIS\wwwroot\js\Archive\Views_AuditeePortal_old_para_reply_cad.js:35,get_old_para_management,/ApiCalls/get_old_para_management,ApiCalls,get_old_para_management,GetOldParasManagement,AIS\DBConnection.AE.cs,pkg_ae,P_GetOldParaManagement,No,No,No,,Needs DB extraction,Procedure not fully present in checked-in package source.
JS,AIS\wwwroot\js\Archive\Views_AuditeePortal_old_para_reply_cad.js:70,sub_voilation,/Execution/sub_voilation,Execution,sub_voilation,GetVoilationSubGroup,AIS\DBConnection.AR.cs,pkg_ar,P_GetVoilationSubGroup,Yes,Yes,No,,Keep,
JS,AIS\wwwroot\js\Archive\Views_AuditeePortal_old_para_reply_cad.js:94,risk_activities,/Execution/risk_activities,Execution,risk_activities,GetRiskActivities,AIS\DBConnection.AR.cs,pkg_ar,p_GetRiskActivities,Yes,Yes,No,,Keep,
JS,AIS\wwwroot\js\Archive\Views_AuditeePortal_old_para_reply_cad.js:152,add_legacy_para_cad_reply,/ApiCalls/add_legacy_para_cad_reply,ApiCalls,add_legacy_para_cad_reply,AddOldParasCADReply,AIS\DBConnection.AE.cs,pkg_ae,P_updateoldparamanagement,Yes,Yes,No,,Keep,
JS,AIS\wwwroot\js\Archive\Views_AuditeePortal_old_para_reply_cad.js:186,add_legacy_para_cad_compliance,/ApiCalls/add_legacy_para_cad_compliance,ApiCalls,add_legacy_para_cad_compliance,AddOldParasCADCompliance,AIS\DBConnection.AE.cs,pkg_ae,P_UpdateAuditeeOldParasresponse,Yes,Yes,No,,Keep,
JS,AIS\wwwroot\js\Archive\Views_AuditeePortal_Para_Text_Update_FAD.js:22,get_old_para_br_compliance_text_update,/ApiCalls/get_old_para_br_compliance_text_update,ApiCalls,get_old_para_br_compliance_text_update,GetOldParasBranchComplianceTextupdate,AIS\DBConnection.AE.cs,pkg_ae,P_GetAuditeeAllParasFAD,Yes,Yes,No,,Keep,
JS,AIS\wwwroot\js\Archive\Views_AuditeePortal_Para_Text_Update_FAD.js:45,get_old_para_br_compliance_text_update,/ApiCalls/get_old_para_br_compliance_text_update,ApiCalls,get_old_para_br_compliance_text_update,GetOldParasBranchComplianceTextupdate,AIS\DBConnection.AE.cs,pkg_ae,P_GetAuditeeAllParasFAD,Yes,Yes,No,,Keep,
JS,AIS\wwwroot\js\Archive\Views_AuditeePortal_Para_Text_Update_FAD.js:88,add_old_para_br_compliance_reply,/ApiCalls/add_old_para_br_compliance_reply,ApiCalls,add_old_para_br_compliance_reply,,,,,,,No,,Needs manual review,Endpoint did not map to an indexed controller action.
JS,AIS\wwwroot\js\Archive\Views_Dashboard_functional_resp_wise_paras.js:9,get_functional_responsibility_wise_paras_for_dashboard,/ApiCalls/get_functional_responsibility_wise_paras_for_dashboard,ApiCalls,get_functional_responsibility_wise_paras_for_dashboard,GetFunctionalResponsibilityWiseParaForDashboard,AIS\DBConnection.DB.cs,pkg_db,P_GET_Dash_table_functionwise,Yes,Yes,No,,Keep,
JS,AIS\wwwroot\js\Archive\Views_Dashboard_functional_resp_wise_paras.js:51,get_functional_observation_text,/ApiCalls/get_functional_observation_text,ApiCalls,get_functional_observation_text,GetFunctionalObservationText,AIS\DBConnection.DB.cs,pkg_db,P_Function_Annexure_Paras_text,Yes,Yes,No,,Keep,
JS,AIS\wwwroot\js\Archive\Views_Dashboard_functional_resp_wise_paras_ho.js:14,get_functional_owner_area_for_functional_responsibility_wise_paras_ho,/ApiCalls/get_functional_owner_area_for_functional_responsibility_wise_paras_ho,ApiCalls,get_functional_owner_area_for_functional_responsibility_wise_paras_ho,GetHOFunctionalListForDashboard,AIS\DBConnection.DB.cs,pkg_db,P_GET_Dash_table_functionwise_names_ho,Yes,Yes,No,,Keep,
JS,AIS\wwwroot\js\Archive\Views_Dashboard_functional_resp_wise_paras_ho.js:48,get_violation_area_for_functional_responsibility_wise_paras_ho,/ApiCalls/get_violation_area_for_functional_responsibility_wise_paras_ho,ApiCalls,get_violation_area_for_functional_responsibility_wise_paras_ho,GetHOViolationListForDashboard,AIS\DBConnection.DB.cs,pkg_db,P_GET_Dash_table_functionwise_names_checklist_ho,Yes,Yes,No,,Keep,
JS,AIS\wwwroot\js\Archive\Views_Dashboard_functional_resp_wise_paras_ho.js:80,get_sub_violation_area_for_functional_responsibility_wise_paras_ho,/ApiCalls/get_sub_violation_area_for_functional_responsibility_wise_paras_ho,ApiCalls,get_sub_violation_area_for_functional_responsibility_wise_paras_ho,GetHOSubViolationListForDashboard,AIS\DBConnection.DB.cs,pkg_db,P_GET_Dash_table_functionwise_names_checklist_sub_ho,Yes,Yes,No,,Keep,
JS,AIS\wwwroot\js\Archive\Views_Dashboard_functional_resp_wise_paras_ho.js:108,get_functional_responsibility_wise_paras_for_dashboard_ho,/ApiCalls/get_functional_responsibility_wise_paras_for_dashboard_ho,ApiCalls,get_functional_responsibility_wise_paras_for_dashboard_ho,GetHOFunctionalResponsibilityWiseParaForDashboard,AIS\DBConnection.DB.cs,pkg_db,P_GET_Dash_table_functionwise_ho,Yes,Yes,No,,Keep,
JS,AIS\wwwroot\js\Archive\Views_Dashboard_no_entities_risk_based_planning.js:15,get_risk_base_plan_for_dashboard,/ApiCalls/get_risk_base_plan_for_dashboard,ApiCalls,get_risk_base_plan_for_dashboard,GetEntitiesRiskBasePlanForDashboard,AIS\DBConnection.DB.cs,pkg_db,p_get_risk_baseplan,Yes,Yes,No,,Keep,
JS,AIS\wwwroot\js\Archive\Views_Dashboard_no_entities_risk_based_planning_b.js:15,get_risk_base_plan_for_dashboard,/ApiCalls/get_risk_base_plan_for_dashboard,ApiCalls,get_risk_base_plan_for_dashboard,GetEntitiesRiskBasePlanForDashboard,AIS\DBConnection.DB.cs,pkg_db,p_get_risk_baseplan,Yes,Yes,No,,Keep,
JS,AIS\wwwroot\js\Archive\Views_Dashboard_para_view.js:7,getparentrelForDashboardPanel,/ApiCalls/getparentrelForDashboardPanel,ApiCalls,getparentrelForDashboardPanel,GetparentrepofficeForDashboardPanel,AIS\DBConnection.DB.cs,pkg_db,P_Getparentrepoffice,Yes,Yes,No,,Keep,
JS,AIS\wwwroot\js\Archive\Views_Dashboard_para_view.js:43,getpostplaceForDashboardPanel,/ApiCalls/getpostplaceForDashboardPanel,ApiCalls,getpostplaceForDashboardPanel,GetchildpostingForDashboardPanel,AIS\DBConnection.DB.cs,pkg_db,P_Getchildposting,Yes,Yes,No,,Keep,
JS,AIS\wwwroot\js\Archive\Views_Dashboard_para_view.js:86,get_functional_observations,/ApiCalls/get_functional_observations,ApiCalls,get_functional_observations,GetFunctionalObservations,AIS\DBConnection.DB.cs,pkg_db,P_Function_Annexure_Paras,Yes,Yes,No,,Keep,
JS,AIS\wwwroot\js\Archive\Views_Dashboard_para_view.js:117,get_all_para_text,/ApiCalls/get_all_para_text,ApiCalls,get_all_para_text,GetAllParaText,AIS\DBConnection.HD.cs,pkg_hd,P_GET_ALL_PARA_TEXT,Yes,Yes,No,,Keep,
JS,AIS\wwwroot\js\Archive\Views_Dashboard_reporting_wise_obs.js:10,get_reporting_wise_observations,/ApiCalls/get_reporting_wise_observations,ApiCalls,get_reporting_wise_observations,GetReportingOfficeWiseObservations,AIS\DBConnection.DB.cs,pkg_db,P_Functional_Reporting_office_WISE_ANALYSIS,Yes,Yes,No,,Keep,
JS,AIS\wwwroot\js\Archive\Views_Execution_Add_Legacy_Para.js:9,get_auditee_entities_by_entity_type_id,/ApiCalls/get_auditee_entities_by_entity_type_id,ApiCalls,get_auditee_entities_by_entity_type_id,GetAuditEntitiesByTypeId,AIS\DBConnection.HD.cs,pkg_hd,P_GetAuditEntities,Yes,Yes,No,,Keep,
JS,AIS\wwwroot\js\Archive\Views_Execution_Add_Legacy_Para.js:44,add_new_legacy_para,/ApiCalls/add_new_legacy_para,ApiCalls,add_new_legacy_para,AddNewLegacyPara,AIS\DBConnection.HD.cs,pkg_hd,P_add_legacy_Para,Yes,Yes,No,,Keep,
JS,AIS\wwwroot\js\Archive\Views_Execution_Audit_Execution.js:29,sub_voilation,/Execution/sub_voilation,Execution,sub_voilation,GetVoilationSubGroup,AIS\DBConnection.AR.cs,pkg_ar,P_GetVoilationSubGroup,Yes,Yes,No,,Keep,
JS,AIS\wwwroot\js\Archive\Views_Execution_Audit_Execution.js:53,risk_activities,/Execution/risk_activities,Execution,risk_activities,GetRiskActivities,AIS\DBConnection.AR.cs,pkg_ar,p_GetRiskActivities,Yes,Yes,No,,Keep,
JS,AIS\wwwroot\js\Archive\Views_Execution_Audit_Execution.js:130,save_observations,/ApiCalls/save_observations,ApiCalls,save_observations,SaveAuditObservation,AIS\DBConnection.AR.cs,pkg_ar,P_SaveAuditObservation,Yes,Yes,No,,Keep,
JS,AIS\wwwroot\js\Archive\Views_Execution_Authorize_Adding_Legacy_Para.js:15,get_add_legacy_paras_autorize,/ApiCalls/get_add_legacy_paras_autorize,ApiCalls,get_add_legacy_paras_autorize,GetAddedLegacyParaForAuthorize,AIS\DBConnection.HD.cs,pkg_hd,P_get_legacy_para_to_authorize,Yes,Yes,No,,Keep,
JS,AIS\wwwroot\js\Archive\Views_Execution_Authorize_Adding_Legacy_Para.js:42,Authorize_Legacy_Para_addition,/ApiCalls/Authorize_Legacy_Para_addition,ApiCalls,Authorize_Legacy_Para_addition,AuthorizeLegacyParaAddition,AIS\DBConnection.HD.cs,pkg_hd,P_Authorize_legacy_para_addition,Yes,Yes,No,,Keep,
JS,AIS\wwwroot\js\Archive\Views_Execution_Authorize_Adding_Legacy_Para.js:58,Delete_Legacy_Para_addition_request,/ApiCalls/Delete_Legacy_Para_addition_request,ApiCalls,Delete_Legacy_Para_addition_request,DeleteLegacyParaAdditionRequest,AIS\DBConnection.HD.cs,pkg_hd,P_referedback_Del_para,Yes,Yes,No,,Keep,
JS,AIS\wwwroot\js\Archive\Views_Execution_Authorize_Change_Settle_Para_Status.js:25,get_legacy_settled_paras_autorize,/ApiCalls/get_legacy_settled_paras_autorize,ApiCalls,get_legacy_settled_paras_autorize,GetOldSettledParasForResponseAuthorize,AIS\DBConnection.FAD.cs,pkg_fad,p_getoldparasforresponseauthorize,Yes,Yes,No,,Needs manual review,"Missing BindByName, GuardAgainstDynamicSql"
JS,AIS\wwwroot\js\Archive\Views_Execution_Authorize_Change_Settle_Para_Status.js:69,Add_Authorization_Old_Para_Change_status,/ApiCalls/Add_Authorization_Old_Para_Change_status,ApiCalls,Add_Authorization_Old_Para_Change_status,AddAuthorizeChangeStatusRequestForSettledPara,AIS\DBConnection.FAD.cs,pkg_fad,p_authorizechangestatusrequestforsettledpara,Yes,Yes,No,,Needs manual review,"Missing BindByName, GuardAgainstDynamicSql"
JS,AIS\wwwroot\js\Archive\Views_Execution_Authorize_Change_Settle_Para_Status.js:93,GetIASPARATEXT,/ApiCalls/GetIASPARATEXT,ApiCalls,GetIASPARATEXT,GetIASParaText,AIS\DBConnection.FAD.cs,pkg_FAD,P_GET_IAS_PARA_TEXT,Yes,Yes,No,,Needs manual review,"Missing BindByName, GuardAgainstDynamicSql"
JS,AIS\wwwroot\js\Archive\Views_Execution_Authorize_Update_Legacy_Para_Gist_Para.js:15,get_update_gist_paraNo_legacy_paras_autorize,/ApiCalls/get_update_gist_paraNo_legacy_paras_autorize,ApiCalls,get_update_gist_paraNo_legacy_paras_autorize,GetUpdatedGistParaOfLegacyParaForAuthorize,AIS\DBConnection.AR.cs,pkg_ar,P_get_legacy_para_to_authorize,Yes,Yes,No,,Keep,
JS,AIS\wwwroot\js\Archive\Views_Execution_Authorize_Update_Legacy_Para_Gist_Para.js:57,Authorize_Legacy_Para_Gist_ParaNo,/ApiCalls/Authorize_Legacy_Para_Gist_ParaNo,ApiCalls,Authorize_Legacy_Para_Gist_ParaNo,AuthorizeLegacyParaGistParaNoUpdate,AIS\DBConnection.AR.cs,pkg_ar,P_Authorize_Para_Gist,Yes,Yes,No,,Keep,
JS,AIS\wwwroot\js\Archive\Views_Execution_auth_del_dup_para.js:15,get_duplicate_paras_for_authorize,/ApiCalls/get_duplicate_paras_for_authorize,ApiCalls,get_duplicate_paras_for_authorize,GetDuplicateParasForAuthorization,AIS\DBConnection.HD.cs,pkg_hd,P_GET_DUPLICATE_PARAS_FOR_AUTH,Yes,Yes,No,,Keep,
JS,AIS\wwwroot\js\Archive\Views_Execution_auth_del_dup_para.js:35,reject_delete_duplicate_para,/ApiCalls/reject_delete_duplicate_para,ApiCalls,reject_delete_duplicate_para,RejectDeleteDuplicatePara,AIS\DBConnection.HD.cs,pkg_hd,P_REJECT_DUPLICATE_PARAS,Yes,Yes,No,,Keep,
JS,AIS\wwwroot\js\Archive\Views_Execution_auth_del_dup_para.js:53,authorize_delete_duplicate_para,/ApiCalls/authorize_delete_duplicate_para,ApiCalls,authorize_delete_duplicate_para,AuthDeleteDuplicatePara,AIS\DBConnection.HD.cs,pkg_hd,P_AUTH_DUPLICATE_PARAS,Yes,Yes,No,,Keep,
JS,AIS\wwwroot\js\Archive\Views_Execution_branch_deposit_info.js:21,GetDepositAccountSubdetails,/ApiCalls/GetDepositAccountSubdetails,ApiCalls,GetDepositAccountSubdetails,GetDepositAccountSubdetails,AIS\DBConnection.cs,pkg_ai,P_GetDepositAccountSubdetails,No,No,No,,Needs manual review,"Package SQL source file not found.; Missing BindByName, GuardAgainstDynamicSql"
JS,AIS\wwwroot\js\Archive\Views_Execution_deposit_account.js:21,get,/ApiCalls/get,ApiCalls,get,,,,,,,No,,Needs manual review,Endpoint did not map to an indexed controller action.
JS,AIS\wwwroot\js\Archive\Views_Execution_deposit_account_details.js:6,GetDepositAccountcatdetails,/ApiCalls/GetDepositAccountcatdetails,ApiCalls,GetDepositAccountcatdetails,GetDepositAccountcatdetails,AIS\DBConnection.cs,pkg_AIS,P_GetDepositACCOUNTCATEGORY_details,No,No,No,,Needs manual review,"Procedure not fully present in checked-in package source.; Missing BindByName, GuardAgainstDynamicSql"
JS,AIS\wwwroot\js\Archive\Views_Execution_disb_info.js:21,GetBranchDesbursementaccountdetails,/ApiCalls/GetBranchDesbursementaccountdetails,ApiCalls,GetBranchDesbursementaccountdetails,GetBranchDesbursementAccountdetails,AIS\DBConnection.cs,pkg_ai,P_GetBranchDesbursementAccountdetails,No,No,No,,Needs manual review,"Package SQL source file not found.; Missing BindByName, GuardAgainstDynamicSql"
JS,AIS\wwwroot\js\Archive\Views_Execution_loan_case_details.js:19,Loan_Case_Details,/ApiCalls/Loan_Case_Details,ApiCalls,Loan_Case_Details,GetLoanCaseDetails,AIS\DBConnection.cs,pkg_ai,P_GetLoanCaseDetails,No,No,No,,Needs manual review,"Package SQL source file not found.; Missing BindByName, GuardAgainstDynamicSql"
JS,AIS\wwwroot\js\Archive\Views_Execution_loan_case_document.js:20,Getloancasedocuments,/ApiCalls/Getloancasedocuments,ApiCalls,Getloancasedocuments,GetLoanCaseDocuments,AIS\DBConnection.cs,pkg_ais,P_GetLoanCaseDocuments,No,Yes,No,,Needs manual review,"Procedure not fully present in checked-in package source.; Missing BindByName, GuardAgainstDynamicSql"
JS,AIS\wwwroot\js\Archive\Views_Execution_obs_management.js:29,get_observations_summary_for_selected_entity,/ApiCalls/get_observations_summary_for_selected_entity,ApiCalls,get_observations_summary_for_selected_entity,GetManagedObservationsSummaryForSelectedEntity,AIS\DBConnection.AR.cs,pkg_ar,P_get_details_for_manage_observations_summary,Yes,Yes,No,,Keep,
JS,AIS\wwwroot\js\Archive\Views_Execution_obs_management.js:58,get_observations_for_selected_entity,/ApiCalls/get_observations_for_selected_entity,ApiCalls,get_observations_for_selected_entity,GetManagedObservationsForSelectedEntity,AIS\DBConnection.AR.cs,pkg_ar,P_get_details_for_manage_observations,Yes,Yes,No,,Keep,
JS,AIS\wwwroot\js\Archive\Views_Execution_obs_management.js:97,get_details_for_manage_observations_text,/ApiCalls/get_details_for_manage_observations_text,ApiCalls,get_details_for_manage_observations_text,GetManagedAllObservationsText,AIS\DBConnection.AR.cs,pkg_ar,P_get_details_for_manage_observations_text,Yes,Yes,No,,Keep,
