JS file,View/layout using it,JS function/event,API URL,HTTP method,Controller/action,Controller parameters,JS parameters,DBConnection method,Package/procedure,Package spec exists,Package body exists,DB hardening,Status,Issue found,Recommended fix
AIS\wwwroot\js\csp\Views_CAU_commercial_audit.js:834,AIS\Views\CAU\workflow.cshtml:50,loadCommercialAuditArpsePdpMappings,/ApiCalls/get_commercial_audit_arpse_pdp_mappings,GET,ApiCalls.get_commercial_audit_arpse_pdp_mappings,arpse_id,arpse_id,GetCommercialAuditArpsePdpMappings,PKG_COMMERCIAL_AUDIT.P_GET_ARPSE_PDP_MAP,No,No,StoredProcedure=Yes; BindByName=No; Guard=No; UsingCon=Yes; UsingCmd=Yes; UsingReader=No; SessionBeforeConnection=N/A,Broken,"DBConnection disposal pattern needs review. | DBConnection hardening missing: BindByName = true, GuardAgainstDynamicSql(cmd) | Package procedure missing from checked-in source: PKG_COMMERCIAL_AUDIT.P_GET_ARPSE_PDP_MAP","Add the missing DBConnection hardening statements around the OracleCommand. | Extract live DB package source or confirm obsolete/replaced flow before adding declarations. | Use using blocks/declarations for connection, command, and reader."
AIS\wwwroot\js\csp\Views_CAU_commercial_audit.js:907,AIS\Views\CAU\workflow.cshtml:50,saveCommercialAuditArpsePdpMappings,/ApiCalls/save_commercial_audit_arpse_pdp_mapping,POST,ApiCalls.save_commercial_audit_arpse_pdp_mapping,model,,SaveCommercialAuditArpsePdpMappings,PKG_COMMERCIAL_AUDIT.P_SAVE_ARPSE_PDP_MAP,No,No,StoredProcedure=Yes; BindByName=No; Guard=No; UsingCon=Yes; UsingCmd=Yes; UsingReader=Yes; SessionBeforeConnection=Yes,Broken,"DBConnection hardening missing: BindByName = true, GuardAgainstDynamicSql(cmd) | Package procedure missing from checked-in source: PKG_COMMERCIAL_AUDIT.P_SAVE_ARPSE_PDP_MAP",Add the missing DBConnection hardening statements around the OracleCommand. | Extract live DB package source or confirm obsolete/replaced flow before adding declarations.
AIS\wwwroot\js\csp\Views_CAU_commercial_audit.js:997,AIS\Views\CAU\workflow.cshtml:50,loadCommercialAuditArpseHeaders,/ApiCalls/get_commercial_audit_arpse_headers,GET,ApiCalls.get_commercial_audit_arpse_headers,,,GetCommercialAuditArpseHeaders,PKG_COMMERCIAL_AUDIT.P_GET_ARPSE_HEADERS,No,No,StoredProcedure=Yes; BindByName=No; Guard=No; UsingCon=Yes; UsingCmd=Yes; UsingReader=No; SessionBeforeConnection=N/A,Broken,"DBConnection disposal pattern needs review. | DBConnection hardening missing: BindByName = true, GuardAgainstDynamicSql(cmd) | Package procedure missing from checked-in source: PKG_COMMERCIAL_AUDIT.P_GET_ARPSE_HEADERS","Add the missing DBConnection hardening statements around the OracleCommand. | Extract live DB package source or confirm obsolete/replaced flow before adding declarations. | Use using blocks/declarations for connection, command, and reader."
AIS\wwwroot\js\csp\Views_CAU_commercial_audit.js:1179,AIS\Views\CAU\workflow.cshtml:50,saveCommercialAuditArpseHeader,/ApiCalls/save_commercial_audit_arpse_header,POST,ApiCalls.save_commercial_audit_arpse_header,model,,SaveCommercialAuditArpseHeader,PKG_COMMERCIAL_AUDIT.P_SAVE_ARPSE,No,No,StoredProcedure=Yes; BindByName=No; Guard=No; UsingCon=Yes; UsingCmd=Yes; UsingReader=Yes; SessionBeforeConnection=Yes,Broken,"DBConnection hardening missing: BindByName = true, GuardAgainstDynamicSql(cmd) | Package procedure missing from checked-in source: PKG_COMMERCIAL_AUDIT.P_SAVE_ARPSE",Add the missing DBConnection hardening statements around the OracleCommand. | Extract live DB package source or confirm obsolete/replaced flow before adding declarations.
AIS\wwwroot\js\csp\Views_CAU_commercial_audit.js:1214,AIS\Views\CAU\workflow.cshtml:50,loadCommercialAuditArpseDacEntries,/ApiCalls/get_commercial_audit_arpse_dac_entries,GET,ApiCalls.get_commercial_audit_arpse_dac_entries,arpse_id,arpse_id,GetCommercialAuditArpseDacEntries,PKG_COMMERCIAL_AUDIT.P_GET_ARPSE_DAC_ENTRIES,No,No,StoredProcedure=Yes; BindByName=No; Guard=No; UsingCon=Yes; UsingCmd=Yes; UsingReader=No; SessionBeforeConnection=N/A,Broken,"DBConnection disposal pattern needs review. | DBConnection hardening missing: BindByName = true, GuardAgainstDynamicSql(cmd) | Package procedure missing from checked-in source: PKG_COMMERCIAL_AUDIT.P_GET_ARPSE_DAC_ENTRIES","Add the missing DBConnection hardening statements around the OracleCommand. | Extract live DB package source or confirm obsolete/replaced flow before adding declarations. | Use using blocks/declarations for connection, command, and reader."
AIS\wwwroot\js\csp\Views_CAU_commercial_audit.js:1230,AIS\Views\CAU\workflow.cshtml:50,loadCommercialAuditArpsePacEntries,/ApiCalls/get_commercial_audit_arpse_pac_entries,GET,ApiCalls.get_commercial_audit_arpse_pac_entries,arpse_id,arpse_id,GetCommercialAuditArpsePacEntries,PKG_COMMERCIAL_AUDIT.P_GET_ARPSE_PAC_ENTRIES,No,No,StoredProcedure=Yes; BindByName=No; Guard=No; UsingCon=Yes; UsingCmd=Yes; UsingReader=No; SessionBeforeConnection=N/A,Broken,"DBConnection disposal pattern needs review. | DBConnection hardening missing: BindByName = true, GuardAgainstDynamicSql(cmd) | Package procedure missing from checked-in source: PKG_COMMERCIAL_AUDIT.P_GET_ARPSE_PAC_ENTRIES","Add the missing DBConnection hardening statements around the OracleCommand. | Extract live DB package source or confirm obsolete/replaced flow before adding declarations. | Use using blocks/declarations for connection, command, and reader."
AIS\wwwroot\js\csp\Views_CAU_commercial_audit.js:1355,AIS\Views\CAU\workflow.cshtml:50,saveCommercialAuditArpseDacEntry,/ApiCalls/save_commercial_audit_arpse_dac_entry,POST,ApiCalls.save_commercial_audit_arpse_dac_entry,model,,SaveCommercialAuditArpseDacEntry,PKG_COMMERCIAL_AUDIT.P_SAVE_ARPSE_DAC,No,No,StoredProcedure=Yes; BindByName=No; Guard=No; UsingCon=Yes; UsingCmd=Yes; UsingReader=Yes; SessionBeforeConnection=Yes,Broken,"DBConnection hardening missing: BindByName = true, GuardAgainstDynamicSql(cmd) | Package procedure missing from checked-in source: PKG_COMMERCIAL_AUDIT.P_SAVE_ARPSE_DAC",Add the missing DBConnection hardening statements around the OracleCommand. | Extract live DB package source or confirm obsolete/replaced flow before adding declarations.
AIS\wwwroot\js\csp\Views_CAU_commercial_audit.js:1426,AIS\Views\CAU\workflow.cshtml:50,saveCommercialAuditArpsePacEntry,/ApiCalls/save_commercial_audit_arpse_pac_entry,POST,ApiCalls.save_commercial_audit_arpse_pac_entry,model,,SaveCommercialAuditArpsePacEntry,PKG_COMMERCIAL_AUDIT.P_SAVE_ARPSE_PAC,No,No,StoredProcedure=Yes; BindByName=No; Guard=No; UsingCon=Yes; UsingCmd=Yes; UsingReader=Yes; SessionBeforeConnection=Yes,Broken,"DBConnection hardening missing: BindByName = true, GuardAgainstDynamicSql(cmd) | Package procedure missing from checked-in source: PKG_COMMERCIAL_AUDIT.P_SAVE_ARPSE_PAC",Add the missing DBConnection hardening statements around the OracleCommand. | Extract live DB package source or confirm obsolete/replaced flow before adding declarations.
AIS\wwwroot\js\csp\Views_Engagement_engagement_plan.js:120,AIS\Views\Engagement\engagement_plan.cshtml:302; AIS\Views\Planning\Partials\_EngagementPlanReplica.cshtml:298,ShowSelectedDivisionDepartments,/ApiCalls/GetDivDepartments,POST,ApiCalls.GetDivDepartments,div_code,"div_code, option",GetDepartments,pkg_rpt.R_GetDepartments,Yes,Yes,StoredProcedure=Yes; BindByName=Yes; Guard=Yes; UsingCon=Yes; UsingCmd=Yes; UsingReader=Yes; SessionBeforeConnection=Yes,Broken,Controller uses complex model binding; JS data keys require model-level verification. | Package procedure missing from checked-in source: PKG_RPT.P_GetDepartments,Confirm JS data keys match the bound request/model properties. | Extract live DB package source or confirm obsolete/replaced flow before adding declarations.
AIS\wwwroot\js\csp\Views_Engagement_engagement_plan.js:120,AIS\Views\Engagement\engagement_plan.cshtml:302; AIS\Views\Planning\Partials\_EngagementPlanReplica.cshtml:298,ShowSelectedDivisionDepartments,/ApiCalls/GetDivDepartments,POST,ApiCalls.GetDivDepartments,div_code,"div_code, option",GetDepartments,PKG_RPT.P_GetDepartments,No,No,StoredProcedure=Yes; BindByName=Yes; Guard=Yes; UsingCon=Yes; UsingCmd=Yes; UsingReader=Yes; SessionBeforeConnection=Yes,Broken,Controller uses complex model binding; JS data keys require model-level verification. | Package procedure missing from checked-in source: PKG_RPT.P_GetDepartments,Confirm JS data keys match the bound request/model properties. | Extract live DB package source or confirm obsolete/replaced flow before adding declarations.
AIS\wwwroot\js\csp\Views_Execution_engagement_plan.js:120,AIS\Views\Execution\engagement_plan.cshtml:300,ShowSelectedDivisionDepartments,/ApiCalls/GetDivDepartments,POST,ApiCalls.GetDivDepartments,div_code,"div_code, option",GetDepartments,pkg_rpt.R_GetDepartments,Yes,Yes,StoredProcedure=Yes; BindByName=Yes; Guard=Yes; UsingCon=Yes; UsingCmd=Yes; UsingReader=Yes; SessionBeforeConnection=Yes,Broken,Controller uses complex model binding; JS data keys require model-level verification. | Package procedure missing from checked-in source: PKG_RPT.P_GetDepartments,Confirm JS data keys match the bound request/model properties. | Extract live DB package source or confirm obsolete/replaced flow before adding declarations.
AIS\wwwroot\js\csp\Views_Execution_engagement_plan.js:120,AIS\Views\Execution\engagement_plan.cshtml:300,ShowSelectedDivisionDepartments,/ApiCalls/GetDivDepartments,POST,ApiCalls.GetDivDepartments,div_code,"div_code, option",GetDepartments,PKG_RPT.P_GetDepartments,No,No,StoredProcedure=Yes; BindByName=Yes; Guard=Yes; UsingCon=Yes; UsingCmd=Yes; UsingReader=Yes; SessionBeforeConnection=Yes,Broken,Controller uses complex model binding; JS data keys require model-level verification. | Package procedure missing from checked-in source: PKG_RPT.P_GetDepartments,Confirm JS data keys match the bound request/model properties. | Extract live DB package source or confirm obsolete/replaced flow before adding declarations.
AIS\wwwroot\js\csp\Views_Execution_manage_legacy_paras.js:128,AIS\Views\Execution\manage_legacy_paras.cshtml:123,publishResponseChanges,/ApiCalls/add_legacy_para_reply,POST,ApiCalls.add_legacy_para_reply,"ID, REPLY","ID, REPLY",AddOldParasReply,pkg_ae.P_AddOldParasReply,No,No,StoredProcedure=Yes; BindByName=Yes; Guard=Yes; UsingCon=Yes; UsingCmd=Yes; UsingReader=Yes; SessionBeforeConnection=Yes,Broken,Package procedure missing from checked-in source: pkg_ae.P_AddOldParasReply,Extract live DB package source or confirm obsolete/replaced flow before adding declarations.
AIS\wwwroot\js\csp\Views_IAMS_old_para.js:119,AIS\Views\IAMS\old_para.cshtml:198,publishResponseChanges,/ApiCalls/add_legacy_para_observation_text,POST,ApiCalls.add_legacy_para_observation_text,ob,"ID, PARA_TEXT, PROCESS, PROCESS_DETAIL, RESPONSIBLE_PP_NO, SUB_PROCESS, option",AddOldParas,pkg_hd.P_AddOldParas,Yes,Yes,StoredProcedure=Yes; BindByName=Yes; Guard=Yes; UsingCon=Yes; UsingCmd=Yes; UsingReader=Yes; SessionBeforeConnection=Yes,Broken,Controller uses complex model binding; JS data keys require model-level verification. | Package procedure missing from checked-in source: pkg_ais.P_AddOldParasResponsibilityAssigned,Confirm JS data keys match the bound request/model properties. | Extract live DB package source or confirm obsolete/replaced flow before adding declarations.
AIS\wwwroot\js\csp\Views_IAMS_old_para.js:119,AIS\Views\IAMS\old_para.cshtml:198,publishResponseChanges,/ApiCalls/add_legacy_para_observation_text,POST,ApiCalls.add_legacy_para_observation_text,ob,"ID, PARA_TEXT, PROCESS, PROCESS_DETAIL, RESPONSIBLE_PP_NO, SUB_PROCESS, option",AddOldParas,pkg_ais.P_AddOldParasResponsibilityAssigned,No,No,StoredProcedure=Yes; BindByName=Yes; Guard=Yes; UsingCon=Yes; UsingCmd=Yes; UsingReader=Yes; SessionBeforeConnection=Yes,Broken,Controller uses complex model binding; JS data keys require model-level verification. | Package procedure missing from checked-in source: pkg_ais.P_AddOldParasResponsibilityAssigned,Confirm JS data keys match the bound request/model properties. | Extract live DB package source or confirm obsolete/replaced flow before adding declarations.
AIS\wwwroot\js\csp\Views_IAMS_paras.js:119,AIS\Views\IAMS\paras.cshtml:177,publishResponseChanges,/ApiCalls/add_legacy_para_observation_text,POST,ApiCalls.add_legacy_para_observation_text,ob,"ID, PARA_TEXT, PROCESS, PROCESS_DETAIL, RESPONSIBLE_PP_NO, SUB_PROCESS, option",AddOldParas,pkg_hd.P_AddOldParas,Yes,Yes,StoredProcedure=Yes; BindByName=Yes; Guard=Yes; UsingCon=Yes; UsingCmd=Yes; UsingReader=Yes; SessionBeforeConnection=Yes,Broken,Controller uses complex model binding; JS data keys require model-level verification. | Package procedure missing from checked-in source: pkg_ais.P_AddOldParasResponsibilityAssigned,Confirm JS data keys match the bound request/model properties. | Extract live DB package source or confirm obsolete/replaced flow before adding declarations.
AIS\wwwroot\js\csp\Views_IAMS_paras.js:119,AIS\Views\IAMS\paras.cshtml:177,publishResponseChanges,/ApiCalls/add_legacy_para_observation_text,POST,ApiCalls.add_legacy_para_observation_text,ob,"ID, PARA_TEXT, PROCESS, PROCESS_DETAIL, RESPONSIBLE_PP_NO, SUB_PROCESS, option",AddOldParas,pkg_ais.P_AddOldParasResponsibilityAssigned,No,No,StoredProcedure=Yes; BindByName=Yes; Guard=Yes; UsingCon=Yes; UsingCmd=Yes; UsingReader=Yes; SessionBeforeConnection=Yes,Broken,Controller uses complex model binding; JS data keys require model-level verification. | Package procedure missing from checked-in source: pkg_ais.P_AddOldParasResponsibilityAssigned,Confirm JS data keys match the bound request/model properties. | Extract live DB package source or confirm obsolete/replaced flow before adding declarations.
AIS\wwwroot\js\csp\Views_IID_account_document.js:19,AIS\Views\IID\account_document.cshtml:37,loadAccountDocuments,/ApiCalls/get_iid_biomet_account_documents_sampling_details,POST,ApiCalls.get_iid_biomet_account_documents_sampling_details,AC_NO,AC_NO,GetIidAccountDocuments,pkg_ISM.P_GET_ACCOUNT_DOC,No,No,StoredProcedure=Yes; BindByName=No; Guard=No; UsingCon=Yes; UsingCmd=Yes; UsingReader=Yes; SessionBeforeConnection=Yes,Broken,"DBConnection hardening missing: BindByName = true, GuardAgainstDynamicSql(cmd) | Package procedure missing from checked-in source: pkg_ISM.P_GET_ACCOUNT_DOC",Add the missing DBConnection hardening statements around the OracleCommand. | Extract live DB package source or confirm obsolete/replaced flow before adding declarations.
AIS\wwwroot\js\csp\Views_IID_Account_exception.js:13,AIS\Views\IID\Account_exception.cshtml:30,loadexceptionReport,/ApiCalls/get_iid_exception_account_report,POST,ApiCalls.get_iid_exception_account_report,"ENG_ID, RPT_ID","ENG_ID, RPT_ID",GetIidExceptionReportData,pkg_ISM.P_GET_EXCEPTION_REPORT_DATA,No,No,StoredProcedure=Yes; BindByName=No; Guard=No; UsingCon=Yes; UsingCmd=Yes; UsingReader=No; SessionBeforeConnection=N/A,Broken,"DBConnection disposal pattern needs review. | DBConnection hardening missing: BindByName = true, GuardAgainstDynamicSql(cmd) | Package procedure missing from checked-in source: pkg_ISM.P_GET_EXCEPTION_REPORT_DATA","Add the missing DBConnection hardening statements around the OracleCommand. | Extract live DB package source or confirm obsolete/replaced flow before adding declarations. | Use using blocks/declarations for connection, command, and reader."
AIS\wwwroot\js\csp\Views_IID_account_transaction.js:14,AIS\Views\IID\account_transaction.cshtml:35,loadAccountTransactions,/ApiCalls/get_iid_biomet_account_transaction_sampling_details,POST,ApiCalls.get_iid_biomet_account_transaction_sampling_details,"ENG_ID, AC_NO","AC_NO, ENG_ID",GetIidAccountTransactions,pkg_ISM.p_get_account_transcations,No,No,StoredProcedure=Yes; BindByName=No; Guard=No; UsingCon=Yes; UsingCmd=Yes; UsingReader=Yes; SessionBeforeConnection=Yes,Broken,"DBConnection hardening missing: BindByName = true, GuardAgainstDynamicSql(cmd) | Package procedure missing from checked-in source: pkg_ISM.p_get_account_transcations",Add the missing DBConnection hardening statements around the OracleCommand. | Extract live DB package source or confirm obsolete/replaced flow before adding declarations.
AIS\wwwroot\js\csp\Views_IID_Add_Exception_Reports.js:60,AIS\Views\IID\Add_Exception_Reports.cshtml:188,loadReports,/ApiCalls/get_iid_list_of_reports,POST,ApiCalls.get_iid_list_of_reports,ENG_ID,ENG_ID,GetIidListOfReports,pkg_ISM.T_AU_EXCEPTION_REPORT,No,No,StoredProcedure=Yes; BindByName=No; Guard=No; UsingCon=Yes; UsingCmd=Yes; UsingReader=Yes; SessionBeforeConnection=Yes,Broken,"DBConnection hardening missing: BindByName = true, GuardAgainstDynamicSql(cmd) | Package procedure missing from checked-in source: pkg_ISM.T_AU_EXCEPTION_REPORT",Add the missing DBConnection hardening statements around the OracleCommand. | Extract live DB package source or confirm obsolete/replaced flow before adding declarations.
AIS\wwwroot\js\csp\Views_IID_Add_Exception_Reports.js:317,AIS\Views\IID\Add_Exception_Reports.cshtml:188,saveReport,/ApiCalls/add_iid_exception_account_report,POST,ApiCalls.add_iid_exception_account_report,"IND, REPORT_ID, REPORT_TITLE, DESCRIPTION, TYPE, LOAN_STATUS_ID",,AddIidExceptionAccountReport,pkg_ISM.P_ADD_NEW_EXP_REPORT,No,No,StoredProcedure=Yes; BindByName=Yes; Guard=No; UsingCon=Yes; UsingCmd=Yes; UsingReader=Yes; SessionBeforeConnection=Yes,Broken,DBConnection hardening missing: GuardAgainstDynamicSql(cmd) | Package procedure missing from checked-in source: pkg_ISM.P_ADD_NEW_EXP_REPORT,Add the missing DBConnection hardening statements around the OracleCommand. | Extract live DB package source or confirm obsolete/replaced flow before adding declarations.
AIS\wwwroot\js\csp\Views_IID_Add_Exception_Reports.js:357,AIS\Views\IID\Add_Exception_Reports.cshtml:188,loadFormat,/ApiCalls/get_iid_exception_report_format,GET,ApiCalls.get_iid_exception_report_format,report_id,report_id,GetIidExceptionReportFormat,pkg_ISM.P_GET_EXCEPTION_REPORT_FORMAT,No,No,StoredProcedure=Yes; BindByName=Yes; Guard=No; UsingCon=Yes; UsingCmd=Yes; UsingReader=Yes; SessionBeforeConnection=N/A,Broken,DBConnection hardening missing: GuardAgainstDynamicSql(cmd) | Package procedure missing from checked-in source: pkg_ISM.P_GET_EXCEPTION_REPORT_FORMAT,Add the missing DBConnection hardening statements around the OracleCommand. | Extract live DB package source or confirm obsolete/replaced flow before adding declarations.
AIS\wwwroot\js\csp\Views_IID_Exceptions_Reports.js:65,AIS\Views\IID\Exceptions_Reports.cshtml:47; AIS\Views\IID\Exceptions_Reports.cshtml:52,listSamples,/ApiCalls/get_iid_list_of_reports,POST,ApiCalls.get_iid_list_of_reports,ENG_ID,ENG_ID,GetIidListOfReports,pkg_ISM.T_AU_EXCEPTION_REPORT,No,No,StoredProcedure=Yes; BindByName=No; Guard=No; UsingCon=Yes; UsingCmd=Yes; UsingReader=Yes; SessionBeforeConnection=Yes,Broken,"DBConnection hardening missing: BindByName = true, GuardAgainstDynamicSql(cmd) | Package procedure missing from checked-in source: pkg_ISM.T_AU_EXCEPTION_REPORT",Add the missing DBConnection hardening statements around the OracleCommand. | Extract live DB package source or confirm obsolete/replaced flow before adding declarations.
