"Category","Module","Controller","Action/API","HTTP Method","DB Package","DB Procedure","Business IDs available","Audit Action Name","Coverage Status","Reason"
"ADMINISTRATION","","AdministrationPanel","group_add","UNKNOWN","pkg_ad","p_AddGroup","","","LOGGED","Controller instrumented after verified business/Oracle success result"
"ADMINISTRATION","","AdministrationPanel","group_role_assignment","UNKNOWN","pkg_ad","p_GetAllMenuPages","","","NOT REQUIRED","Read/view/query action; no meaningful state change identified"
"ADMINISTRATION","","AdministrationPanel","group_role_assignment","UNKNOWN","pkg_ad","P_GetAllTopMenus","","","NOT REQUIRED","Read/view/query action; no meaningful state change identified"
"ADMINISTRATION","","AdministrationPanel","group_role_assignment","UNKNOWN","pkg_ad","P_GetGroups","","","NOT REQUIRED","Read/view/query action; no meaningful state change identified"
"ADMINISTRATION","","AdministrationPanel","menu_assignment","UNKNOWN","pkg_ad","p_GetAllMenuPages","","","NOT REQUIRED","Read/view/query action; no meaningful state change identified"
"ADMINISTRATION","","AdministrationPanel","menu_assignment","UNKNOWN","pkg_ad","P_GetAllTopMenus","","","NOT REQUIRED","Read/view/query action; no meaningful state change identified"
"ADMINISTRATION","","AdministrationPanel","menu_assignment","UNKNOWN","pkg_ad","P_GetGroups","","","NOT REQUIRED","Read/view/query action; no meaningful state change identified"
"AUDIT_EXECUTION","","AdministrationPanel","update_auditee_entities","UNKNOWN","pkg_ad","P_Get_Entity_type","","","NOT REQUIRED","Read/view/query action; no meaningful state change identified"
"AUDIT_EXECUTION","","AdministrationPanel","update_auditee_entities","UNKNOWN","pkg_ad","P_GetBranchSizes","","","NOT REQUIRED","Read/view/query action; no meaningful state change identified"
"AUDIT_EXECUTION","","AdministrationPanel","update_auditee_entities","UNKNOWN","pkg_ad","P_GetRisks","","","NOT REQUIRED","Read/view/query action; no meaningful state change identified"
"ADMINISTRATION","","ApiCalls","add_ais_entity_for_admin_panel_entity_addition","POST/GET","pkg_ad","P_InsertENTITIEES","ENG_ID","","LOGGED","Controller instrumented after verified business/Oracle success result"
"ADMINISTRATION","","ApiCalls","add_ais_entity_mapping_for_admin_panel_entity_addition","POST/GET","pkg_ad","P_ADD_ENTITIES_MAPPING","","","LOGGED","Controller instrumented after verified business/Oracle success result"
"ANNEXURE","","ApiCalls","add_annexure","POST/GET","pkg_ad","P_ADD_ANNEXURE","","","LOGGED","Controller instrumented after verified Oracle success message"
"CHECKLIST","","ApiCalls","add_audit_checklist","POST","pkg_ad","P_audit_checklist","","ADD_AUDIT_CHECKLIST","LOGGED","Logs only after Oracle returns a non-empty success message"
"CHECKLIST","","ApiCalls","add_audit_checklist_detail","UNKNOWN","pkg_ad","P_audit_checklist_detail","","ADD_AUDIT_CHECKLIST_DETAIL","LOGGED","Logs only after Oracle returns a non-empty success message"
"AUDIT_EXECUTION","","ApiCalls","add_audit_period","POST/GET","pkg_pg","P_AddAuditPeriod","","","LOGGED","ApplicationAudit coverage implemented after confirmed controller and Oracle business success"
"CHECKLIST","","ApiCalls","add_audit_sub_checklist","POST/GET","pkg_ad","P_audit_checklist_sub","","ADD_AUDIT_SUB_CHECKLIST","LOGGED","Logs only after Oracle returns a non-empty success message"
"COMPLIANCE","","ApiCalls","Add_Authorization_Old_Para_Change_status","UNKNOWN","pkg_fad","p_authorizechangestatusrequestforsettledpara","","","LOGGED","Controller instrumented after verified Oracle/business success result"
"COMPLIANCE","","ApiCalls","add_compliance_flow","POST","pkg_ad","P_ADD_UPDATE_COMPLIANCE_FLOW","","","LOGGED","Controller instrumented after verified Oracle/business success result"
"COMPLIANCE","","ApiCalls","add_compliance_hierarchy","POST","pkg_ad","P_ADD_COM_OFFICER","","","LOGGED","Controller instrumented after verified Oracle/business success result"
"ADMINISTRATION","","ApiCalls","add_control_violation","POST","","","","","LOGGED","Controller instrumented after verified business/Oracle success result"
"AUDIT_REPORT","","ApiCalls","add_exception_account_report","POST/GET","pkg_sm","P_Add_new_exp_report","","","LOGGED","Controller instrumented after verified Oracle/business success result"
"ADMINISTRATION","","ApiCalls","add_hr_designation_wise_role_assignment","POST/GET","pkg_ad","P_ADD_HR_DESIGNATION_RIGHT","","","LOGGED","Controller instrumented after verified business/Oracle success result"
"AUDIT_REPORT","","ApiCalls","add_iid_exception_account_report","POST","pkg_ISM","P_ADD_NEW_EXP_REPORT","","","LOGGED","Controller instrumented after verified Oracle/business success result"
"AUDIT_PLANNING","","ApiCalls","add_inspection_team","POST/GET","","","ENTITY_ID","","NOT REQUIRED","Hard-coded stub returns true and performs no business or Oracle operation"
"COMPLIANCE","","ApiCalls","add_legacy_para_cad_compliance","POST/GET","pkg_ae","P_UpdateAuditeeOldParasresponse","","","LOGGED","Controller instrumented after verified Oracle/business success result"
"COMPLIANCE","","ApiCalls","add_legacy_para_cad_reply","POST/GET","pkg_ae","P_updateoldparamanagement","","","LOGGED","Controller instrumented after verified Oracle/business success result"
"COMPLIANCE","","ApiCalls","add_legacy_para_observation_text","GET","pkg_hd","P_AddOldParas","","","LOGGED","Controller instrumented after verified Oracle/business success result"
"COMPLIANCE","","ApiCalls","add_legacy_para_reply","POST/GET","pkg_ae","P_AddOldParasReply","ENG_ID","","LOGGED","Controller instrumented after verified Oracle/business success result"
"AUDIT_EXECUTION","","ApiCalls","add_manage_entities_audit_department","POST/GET","pkg_ad","P_add_Entities_Audit_Department","","","LOGGED","ApplicationAudit coverage implemented after confirmed controller and Oracle business success"
"ADMINISTRATION","","ApiCalls","add_manage_observatiton_status","POST/GET","pkg_ad","P_add_Obs_status","PARA_ID","","LOGGED","Controller instrumented after verified business/Oracle success result"
"ADMINISTRATION","","ApiCalls","add_menu_page_for_admin_panel","POST","pkg_ad","P_ADD_NEW_PAGE","","","LOGGED","Controller instrumented after verified business/Oracle success result"
"COMPLIANCE","","ApiCalls","add_new_legacy_para","UNKNOWN","pkg_hd","P_add_legacy_Para","","","LOGGED","Controller instrumented after verified Oracle/business success result"
"COMPLIANCE","","ApiCalls","Add_New_Para_Change_status_Request","UNKNOWN","pkg_hd","P_ChangeStatusRequestForSettledPara_new","ENTITY_ID","","LOGGED","Controller instrumented after verified Oracle/business success result"
"ADMINISTRATION","","ApiCalls","add_new_user","POST","","","","","LOGGED","Controller instrumented after verified business/Oracle success result"
"AUDIT_EXECUTION","","ApiCalls","add_observation_gist_and_recommendation","UNKNOWN","","","","","LOGGED","ApplicationAudit coverage implemented after confirmed controller and Oracle business success"
"COMPLIANCE","","ApiCalls","Add_Old_Para_Change_status","UNKNOWN","pkg_hd","p_changestatusrequestforsettledpara","","","LOGGED","Controller instrumented after verified Oracle/business success result"
"COMPLIANCE","","ApiCalls","Add_Old_Para_Change_status_Authorize","UNKNOWN","pkg_fad","P_AuthorizeChangeStatusRequestForSettledPara_new","","","LOGGED","Controller instrumented after verified Oracle/business success result"
"COMPLIANCE","","ApiCalls","Add_Old_Para_Change_status_Review","UNKNOWN","pkg_hd","P_ChangeStatusRequestForSettledPara_new_reviewer","","","LOGGED","Controller instrumented after verified Oracle/business success result"
"COMPLIANCE","","ApiCalls","Add_Para_Change_status_Request","UNKNOWN","pkg_hd","P_Add_Paras_For_Status_Change","","","LOGGED","Controller instrumented after verified Oracle/business success result"
"COMPLIANCE","","ApiCalls","ADD_PARA_STATUS_CHANGE_REQUEST","POST","PKG_FAD","P_ADD_PARA_STATUS_CHANGE","","","LOGGED","Controller instrumented after verified Oracle/business success result"
"ADMINISTRATION","","ApiCalls","add_public_holiday","UNKNOWN","PKG_AD","P_INSERT_PUBLIC_HOLIDAY","","","LOGGED","Controller instrumented after verified business/Oracle success result"
"COMPLIANCE","","ApiCalls","add_responsibility_to_legacy_para","UNKNOWN","pkg_ar","p_add_para_responsibility","","","LOGGED","Controller instrumented after verified Oracle/business success result"
"COMPLIANCE","","ApiCalls","add_responsibility_to_legacy_para_fad","UNKNOWN","pkg_fad","p_add_para_responsibility","","","LOGGED","Controller instrumented after verified Oracle/business success result"
"COMPLIANCE","","ApiCalls","add_responsible_for_old_paras","POST/GET","pkg_ar","P_responibilityforoldpara","","","LOGGED","Controller instrumented after verified Oracle/business success result"
"AUDIT_EXECUTION","","ApiCalls","add_responsible_to_observation","POST/GET","","","","","LOGGED","ApplicationAudit coverage implemented after confirmed controller and Oracle business success"
"AUDIT_PLANNING","","ApiCalls","add_special_audit_plan","POST/GET","pkg_pg","P_ADD_Special_Audit_Plan","ENTITY_ID","","LOGGED","Logged after LegacyMessageResponse confirms non-empty Oracle return message"
"ADMINISTRATION","","ApiCalls","add_sub_entity","POST/GET","pkg_ad","P_AddSubEntity","","","LOGGED","Controller instrumented after verified business/Oracle success result"
"ADMINISTRATION","","ApiCalls","add_sub_entity","POST/GET","pkg_ad","P_UpdateSubEntity","","","LOGGED","Controller instrumented after verified business/Oracle success result"
"ADMINISTRATION","","ApiCalls","add_sub_menu_for_admin_panel","POST","pkg_ad","P_ADD_NEW_SUB_MENU","","","LOGGED","Controller instrumented after verified business/Oracle success result"
"ADMINISTRATION","","ApiCalls","Add_Working_Paper_Account_Opening","POST/GET","pkg_ar","P_AddAccountOpeningDetails","","","LOGGED","Controller instrumented after verified business/Oracle success result"
"ADMINISTRATION","","ApiCalls","Add_Working_Paper_Cash_Counter","POST/GET","pkg_ar","P_AddCashCounterDetails","ENG_ID","","LOGGED","Controller instrumented after verified business/Oracle success result"
"ADMINISTRATION","","ApiCalls","Add_Working_Paper_Fixed_Assets","POST/GET","pkg_ar","P_AddFixedAssetsDetails","","","LOGGED","Controller instrumented after verified business/Oracle success result"
"ADMINISTRATION","","ApiCalls","Add_Working_Paper_Loan_Cases","POST/GET","pkg_ar","P_AddLoanCaseFile","","","LOGGED","Controller instrumented after verified business/Oracle success result"
"ADMINISTRATION","","ApiCalls","Add_Working_Paper_Voucher_Checking","POST/GET","pkg_ar","P_AddVoucherChecking","ENTITY_ID","","LOGGED","Controller instrumented after verified business/Oracle success result"
"ADMINISTRATION","","ApiCalls","AddAnalysis","UNKNOWN","PKG_INQ","ADD_ANALYSIS","","","LOGGED","Controller instrumented after verified business/Oracle success result"
"ADMINISTRATION","","ApiCalls","AddAssessment","POST","PKG_INQ","ADD_ASSESSMENT","","","LOGGED","Controller instrumented after verified business/Oracle success result"
"AUDIT_PLANNING","","ApiCalls","AddAuditTeam","UNKNOWN","pkg_pg","P_addauditteam","","","LOGGED","Logged once only when every submitted member returns a non-empty Oracle confirmation"
"AUDIT_PLANNING","","ApiCalls","AddAuditTeam","UNKNOWN","pkg_pg","P_MAXTEAMID","","","NOT REQUIRED","Read-only team ID allocation lookup; covered by the subsequent confirmed team creation audit"
"ADMINISTRATION","","ApiCalls","AddCaseStudy","POST/GET","PKG_INQ","ADD_CASE_STUDY","ENG_ID","","LOGGED","Controller instrumented after verified business/Oracle success result"
"AUDIT_PLANNING","","ApiCalls","AddEngagementPlan","UNKNOWN","","","","","LOGGED","Single request-level audit after returned IS_SUCCESS equals Yes"
"AUDIT_PLANNING","","ApiCalls","AddEngagementPlan","UNKNOWN","pkg_pg","P_AddAuditEngagementPlan","","","LOGGED","Oracle cursor IS_SUCCESS=Yes is required before audit"
"AUDIT_PLANNING","","ApiCalls","AddEngagementPlan","UNKNOWN","pkg_pg","P_GetAuditTeams","","","NOT REQUIRED","Read/view/query action; no meaningful state change identified"
"ADMINISTRATION","","ApiCalls","AddFinalApproval","POST","","","","","LOGGED","Controller instrumented after verified business/Oracle success result"
"ADMINISTRATION","","ApiCalls","AddFinalApproval","POST","PKG_INQ","P_ENQUEUE_EMAIL","","","LOGGED","Controller instrumented after verified business/Oracle success result"
"ADMINISTRATION","","ApiCalls","AddFinalApproval","POST","PKG_INQ","P_GET_COMPLAINT_ID_BY_REPORT","","","NOT REQUIRED","Read/view/query action; no meaningful state change identified"
"ADMINISTRATION","","ApiCalls","AddHeadReview","UNKNOWN","","","","","LOGGED","Controller instrumented after verified business/Oracle success result"
"ADMINISTRATION","","ApiCalls","AddHeadReview","UNKNOWN","PKG_INQ","ADD_HEAD_REVIEW","","","LOGGED","Controller instrumented after verified business/Oracle success result"
"INQUIRY_COMPLAINT","","ApiCalls","AddIidInqAccusation","UNKNOWN","PKG_INQ","P_ADD_INQ_ACCUSATION","","","LOGGED","Controller instrumented after affected-row/ok business success result"
"INQUIRY_COMPLAINT","","ApiCalls","AddIidInqAccused","UNKNOWN","PKG_INQ","P_ADD_INQ_ACCUSED","","","LOGGED","Controller instrumented after affected-row/ok business success result"
"INQUIRY_COMPLAINT","","ApiCalls","AddIidInqDsa","UNKNOWN","PKG_INQ","P_ADD_INQ_DSA","","","LOGGED","Controller instrumented after affected-row/ok business success result"
"FILES_EVIDENCE","","ApiCalls","AddIidInqEvidenceFile","UNKNOWN","PKG_INQ","P_ADD_INQ_EVIDENCE_FILE","","","LOGGED","Controller instrumented after verified business/Oracle success result"
"INQUIRY_COMPLAINT","","ApiCalls","AddIidInqProceeding","POST/GET","PKG_INQ","P_SAVE_INQ_PROCEEDING","report_id","","LOGGED","Controller instrumented after affected-row/ok business success result"
"INQUIRY_COMPLAINT","","ApiCalls","AddIidInqRecord","UNKNOWN","PKG_INQ","P_ADD_INQ_RECORD","","","LOGGED","Controller instrumented after affected-row/ok business success result"
"INQUIRY_COMPLAINT","","ApiCalls","AddIidInqStatement","POST/GET","PKG_INQ","P_ADD_INQ_STATEMENT","ENG_ID","","LOGGED","Controller instrumented after affected-row/ok business success result"
"INQUIRY_COMPLAINT","","ApiCalls","AddIidInqViolation","POST","PKG_INQ","P_ADD_INQ_VIOLATION","","","LOGGED","Controller instrumented after affected-row/ok business success result"
"ADMINISTRATION","","ApiCalls","addinpectioncriteria","POST/GET","","","ENTITY_ID","","NOT REQUIRED","Inactive stub returns true; DBConnection call is commented out at ApiCallsController.cs addinpectioncriteria"
"AUDIT_REPORT","","ApiCalls","AddInquiryReport","UNKNOWN","PKG_INQ","ADD_INQUIRY_REPORT","","","LOGGED","Controller instrumented after verified Oracle/business success result"
"AUDIT_PLANNING","","ApiCalls","AddInvestigationPlan","GET","PKG_INQ","ADD_INV_PLAN","","","LOGGED","Logged only when returned plan ID is positive (ok=true)"
"COMPLIANCE","","ApiCalls","AddOldParasComplianceReviewer","POST/GET","pkg_ae","P_AddOldParasReviewer","","","LOGGED","Controller instrumented after verified Oracle/business success result"
"AUDIT_PLANNING","","ApiCalls","AddPlanApproval","POST/GET","PKG_INQ","ADD_PLAN_APPROVAL","","","LOGGED","Logged only when returned approval ID is positive (ok=true)"
"AUDIT_PLANNING","","ApiCalls","AddPlanApproval","POST/GET","PKG_INQ","P_ENQUEUE_EMAIL","","","LOGGED","Notification enqueue is part of the one approved-plan action and deliberately produces no duplicate audit row"
"AUDIT_PLANNING","","ApiCalls","AddPlanApproval","POST/GET","PKG_INQ","P_GET_COMPLAINT_ID_BY_PLAN","","","NOT REQUIRED","Read/view/query action; no meaningful state change identified"
"ADMINISTRATION","","ApiCalls","AddVersionHistory","UNKNOWN","PKG_AD","P_ADD_VERSION_HISTORY","","","LOGGED","Controller instrumented after verified business/Oracle success result"
"AUDIT_PLANNING","","ApiCalls","approve_engagement_plan","POST","pkg_pg","P_ApproveAuditEngagementPlan","","","LOGGED","Boolean false is rejected by filter; true logs approval"
"AUDIT_PLANNING","","ApiCalls","approve_special_audit_plan","POST","pkg_pg","P_Update_Special_Audit","","","LOGGED","Logged after LegacyMessageResponse confirms Oracle result"
"COMPLIANCE","","ApiCalls","assign_annexure_with_para","POST/GET","pkg_fad","P_Update_paras_annex_fad","","","LOGGED","Controller instrumented after verified Oracle/business success result"
"COMPLIANCE","","ApiCalls","authorize_delete_duplicate_para","GET","pkg_hd","P_AUTH_DUPLICATE_PARAS","","","LOGGED","Controller instrumented after verified Oracle/business success result"
"COMPLIANCE","","ApiCalls","Authorize_Legacy_Para_addition","UNKNOWN","pkg_hd","P_Authorize_legacy_para_addition","","","LOGGED","Controller instrumented after verified Oracle/business success result"
"COMPLIANCE","","ApiCalls","Authorize_Legacy_Para_Gist_ParaNo","POST/GET","pkg_ar","P_Authorize_Para_Gist","","","LOGGED","Controller instrumented after verified Oracle/business success result"
"CHECKLIST","","ApiCalls","authorize_merge_duplicate_checklists","POST/GET","pkg_ad","P_AUTHORIZE_DUPLICATE_CHECKLIST_DETAILS","","AUTHORIZE_MERGE_DUPLICATE_CHECKLISTS","LOGGED","Logs only after Oracle returns a non-empty success message"
"ADMINISTRATION","","ApiCalls","authorize_merge_duplicate_process","POST/GET","pkg_ad","P_AUTHORIZE_MERGER_CHECKLIST","","","LOGGED","Controller instrumented after verified business/Oracle success result"
"ADMINISTRATION","","ApiCalls","authorize_merge_duplicate_sub_process","POST","pkg_ad","P_AUTHORIZE_MERGER_CHECKLIST_SUB","","","LOGGED","Controller instrumented after verified business/Oracle success result"
"COMPLIANCE","","ApiCalls","authorize_para_change_status","UNKNOWN","pkg_hd","P_Authorize_Paras_For_Status","","","LOGGED","Controller instrumented after verified Oracle/business success result"
"COMPLIANCE","","ApiCalls","authorize_para_for_manage_audit_paras","UNKNOWN","pkg_ar","P_Authorize_Update_Audit_Paras","","","LOGGED","Controller instrumented after verified Oracle/business success result"
"COMPLIANCE","","ApiCalls","AUTHORIZE_PARA_STATUS_CHANGE_REQUEST","POST","PKG_FAD","P_AUTHORIZE_PARA_STATUS_CHANGE","","","LOGGED","Controller instrumented after verified Oracle/business success result"
"ADMINISTRATION","","ApiCalls","authorize_process_transaction_by_authorizer","POST","pkg_ad","p_approve_checklist_By_Authorizer","","","LOGGED","Controller instrumented after verified business/Oracle success result"
"ADMINISTRATION","","ApiCalls","authorize_sub_process_by_authorizer","POST/GET","pkg_ad","p_Approved_Sub_Process_By_Authorizer","","","LOGGED","Controller instrumented after verified business/Oracle success result"
"AUDIT_EXECUTION","","ApiCalls","AuthorizeAuditCriteria","UNKNOWN","pkg_pg","P_SetAuditCriteriaStatusApprove","","","LOGGED","ApplicationAudit coverage implemented after confirmed controller and Oracle business success"
"ADMINISTRATION","","ApiCalls","branch_add","UNKNOWN","","","","","LOGGED","Controller instrumented after verified business/Oracle success result"
"AUDIT_EXECUTION","","ApiCalls","close_draft_audit","POST/GET","pkg_ar","P_CloseAudit","COM_ID","","LOGGED","ApplicationAudit coverage implemented after confirmed controller and Oracle business success"
"AUDIT_PLANNING","","ApiCalls","create_engagement_Exception_data","GET","pkg_sm","P_add_exception_data","","","LOGGED","Requires non-empty Oracle cursor message before logging"
"AUDIT_PLANNING","","ApiCalls","create_engagement_sample_data","UNKNOWN","pkg_sm","P_add_sample_data","","","LOGGED","Requires non-empty Oracle cursor message before logging"
"COMPLIANCE","","ApiCalls","Delete_Legacy_Para_addition_request","POST/GET","pkg_hd","P_referedback_Del_para","","","LOGGED","Controller instrumented after verified Oracle/business success result"
"COMPLIANCE","","ApiCalls","delete_legacy_para_HO","POST/GET","pkg_ar","P_Delete_Legacy_Para_HO","","","LOGGED","Controller instrumented after verified Oracle/business success result"
"COMPLIANCE","","ApiCalls","delete_legacy_para_responsibility","UNKNOWN","pkg_fad","p_delete_para_responsibility","","","LOGGED","Controller instrumented after verified Oracle/business success result"
"COMPLIANCE","","ApiCalls","delete_responsibility_of_legacy_para","UNKNOWN","pkg_ar","p_delete_para_responsibility","","","LOGGED","Controller instrumented after verified Oracle/business success result"
"AUDIT_EXECUTION","","ApiCalls","delete_responsible_from_observation","POST/GET","pkg_ar","P_Delete_responsibility","","","LOGGED","ApplicationAudit coverage implemented after confirmed controller and Oracle business success"
"AUDIT_PLANNING","","ApiCalls","delete_special_audit_plan","POST","pkg_pg","P_Update_Special_Audit","","","LOGGED","Logged after LegacyMessageResponse confirms Oracle result"
"AUDIT_PLANNING","","ApiCalls","DeleteAuditTeam","UNKNOWN","pkg_pg","P_DeleteAuditTeam","","","LOGGED","ExecuteNonQuery completion returns true; false is not logged"
"INQUIRY_COMPLAINT","","ApiCalls","DeleteIidInqAccusation","UNKNOWN","PKG_INQ","P_DELETE_INQ_ACCUSATION","","","LOGGED","Controller instrumented after affected-row/ok business success result"
"INQUIRY_COMPLAINT","","ApiCalls","DeleteIidInqAccused","UNKNOWN","PKG_INQ","P_DELETE_INQ_ACCUSED","","","LOGGED","Controller instrumented after affected-row/ok business success result"
"INQUIRY_COMPLAINT","","ApiCalls","DeleteIidInqDsa","UNKNOWN","PKG_INQ","P_DELETE_INQ_DSA","","","LOGGED","Controller instrumented after affected-row/ok business success result"
"FILES_EVIDENCE","","ApiCalls","DeleteIidInqEvidenceFile","UNKNOWN","PKG_INQ","P_DELETE_INQ_EVIDENCE_FILE","","","LOGGED","Controller instrumented after verified business/Oracle success result"
"INQUIRY_COMPLAINT","","ApiCalls","DeleteIidInqProceeding","POST","PKG_INQ","P_DELETE_INQ_PROCEEDING","REPORT_ID","","LOGGED","Controller instrumented after affected-row/ok business success result"
"INQUIRY_COMPLAINT","","ApiCalls","DeleteIidInqRecord","POST","PKG_INQ","P_DELETE_INQ_RECORD","","","LOGGED","Controller instrumented after affected-row/ok business success result"
"INQUIRY_COMPLAINT","","ApiCalls","DeleteIidInqStatement","UNKNOWN","PKG_INQ","P_DELETE_INQ_STATEMENT","PLAN_ID","","LOGGED","Controller instrumented after affected-row/ok business success result"
"INQUIRY_COMPLAINT","","ApiCalls","DeleteIidInqViolation","UNKNOWN","PKG_INQ","P_DELETE_INQ_VIOLATION","","","LOGGED","Controller instrumented after affected-row/ok business success result"
"ADMINISTRATION","","ApiCalls","DeletePendingCriteria","POST/GET","pkg_pg","P_DeletePendingCriteria","","","LOGGED","Controller instrumented after verified business/Oracle success result"
"AUDIT_EXECUTION","Execution","ApiCalls","drop_observation","UNKNOWN","pkg_ar","P_DropAuditObservation","","OBSERVATION_DROPPED","LOGGED","Instrumented with endpoint-specific confirmed business success"
"AUDIT_REPORT","","ApiCalls","FinalizeIidInquiryReport","UNKNOWN","","","","","LOGGED","Controller instrumented after verified Oracle/business success result"
"AUDIT_REPORT","","ApiCalls","FinalizeIidReport","GET","","","","","LOGGED","Controller instrumented after verified Oracle/business success result"
"AUDIT_REPORT","","ApiCalls","FinalizeIidReport","GET","PKG_INQ","GET_LATEST_INQUIRY_REPORT_BY_COMPLAINT","","","NOT REQUIRED","Read/view/query action; no meaningful state change identified"
"AUDIT_REPORT","","ApiCalls","FinalizeIidReport","GET","PKG_INQ","P_ENQUEUE_EMAIL","","","LOGGED","Controller instrumented after verified Oracle/business success result"
"AUDIT_REPORT","","ApiCalls","FinalizeIidReport","GET","PKG_INQ","P_GET_COMPLAINT_ID_BY_REPORT","","","NOT REQUIRED","Read/view/query action; no meaningful state change identified"
"COMPLIANCE","","ApiCalls","get_add_legacy_paras_autorize","UNKNOWN","pkg_hd","P_get_legacy_para_to_authorize","OLD_PARA_ID;NEW_PARA_ID","","NOT REQUIRED","Read/view/query action; no meaningful state change identified"
"ADMINISTRATION","","ApiCalls","get_address","POST","pkg_rpt","r_getauditeeaddress","","","NOT REQUIRED","Read/view/query action; no meaningful state change identified"
"ADMINISTRATION","","ApiCalls","get_ais_entities_for_admin_panel_entity_addition","POST/GET","pkg_ad","P_GET_AIS_ENTITIES","ENTITY_ID","","NOT REQUIRED","Read/view/query action; no meaningful state change identified"
"ADMINISTRATION","","ApiCalls","get_ais_entity_existing_mapping_for_admin_panel_entity_addition","POST/GET","pkg_ad","P_get_auditee_entities_mapping","OBS_ID","","NOT REQUIRED","Read/view/query action; no meaningful state change identified"
"COMPLIANCE","","ApiCalls","get_all_paras_for_annexure_assignment","POST/GET","pkg_fad","P_Get_all_paras_fad","","","NOT REQUIRED","Read/view/query action; no meaningful state change identified"
"AUDIT_EXECUTION","","ApiCalls","get_assigned_observation","POST","pkg_ae","p_GetAssignedObservations","","","NOT REQUIRED","Read/view/query action; no meaningful state change identified"
"COMPLIANCE","","ApiCalls","get_assigned_observation_old_paras","POST","pkg_ae","P_GetAuditeeOldParas","","","NOT REQUIRED","Read/view/query action; no meaningful state change identified"
"COMPLIANCE","","ApiCalls","get_cau_paras_for_compliance_submitted_to_branch","POST","pkg_ae","P_GetParasForComplianceByCAU_BY_BRANCH","","","NOT REQUIRED","Read/view/query action; no meaningful state change identified"
"CHECKLIST","","ApiCalls","get_checklist_detail_comparison_by_Id_for_referredBack","POST/GET","pkg_ad","P_get_checklist_update_byid_ref","","","NOT REQUIRED","Read/view/query action; no meaningful state change identified"
"COMPLIANCE","","ApiCalls","get_current_paras_for_status_change_request","UNKNOWN","pkg_hd","P_GetnewParasForResponse","","","NOT REQUIRED","Read/view/query action; no meaningful state change identified"
"COMPLIANCE","","ApiCalls","get_current_paras_for_status_change_request_authorize","POST/GET","pkg_fad","p_GetnewParasForResponseAuthorize","","","NOT REQUIRED","Read/view/query action; no meaningful state change identified"
"COMPLIANCE","","ApiCalls","get_current_paras_for_status_change_request_review","GET","pkg_hd","P_GetnewParasForResponse_reviewer","","","NOT REQUIRED","Read/view/query action; no meaningful state change identified"
"COMPLIANCE","","ApiCalls","get_duplicate_paras_for_authorize","UNKNOWN","pkg_hd","P_GET_DUPLICATE_PARAS_FOR_AUTH","","","NOT REQUIRED","Read/view/query action; no meaningful state change identified"
"ADMINISTRATION","","ApiCalls","get_entity_shifting_details","POST/GET","pkg_ad","P_Get_details_for_entity_shifting","","","NOT REQUIRED","Read/view/query action; no meaningful state change identified"
"AUDIT_REPORT","","ApiCalls","get_finalized_observations_draft","UNKNOWN","pkg_hd","P_GetFinalizedDraftObservations","","","NOT REQUIRED","Read/view/query action; no meaningful state change identified"
"AUDIT_REPORT","","ApiCalls","get_finalized_observations_draft_branch","POST/GET","pkg_hd","P_GetFinalizedDraftObservationsbranch","","","NOT REQUIRED","Read/view/query action; no meaningful state change identified"
