"Pattern","File","Line","Function","Text"
"alerts","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_audit_comp_management.js","83","updateComplianceOffice","alert(""please select entity to proceed"");"
"ajax","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_audit_comp_management.js","87","updateComplianceOffice","$.ajax({"
"ajax","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_audit_criteria.js","62","publishBranchChanges","$.ajax({"
"ajax","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_audit_observation_text.js","56","publishDepartmentChanges","$.ajax({"
"ajax","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_audit_template.js","24","div_risksubcategoryShowHide","$.ajax({"
"ajax","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_audit_template.js","48","div_activityContainerShowHide","$.ajax({"
"ajax","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_audit_template.js","71","getAuditObservationTemplate","$.ajax({"
"ajax","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_authorize_auditee_entities_update.js","8","loadPending","$.ajax({"
"ajax","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_authorize_auditee_entities_update.js","46","openCompare","$.ajax({"
"ajax","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_authorize_auditee_entities_update.js","88","authorizeCurrent","$.ajax({"
"ajax","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_authorize_auditee_entities_update.js","104","rejectCurrent","$.ajax({"
"ajax","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_authorize_audit_checklist.js","15","recommendReferProcTransaction","$.ajax({"
"ajax","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_authorize_audit_checklist.js","53","finalRecommendProcessTransaction","$.ajax({"
"ajax","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_authorize_audit_checklist.js","70","finalRefferedBackProcessTransaction","$.ajax({"
"alerts","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_catalog_uploads.js","6","validateCatalog","alert(""Select a file to validate."");"
"ajax","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_catalog_uploads.js","14","validateCatalog","$.ajax({"
"generic_error","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_catalog_uploads.js","31","validateCatalog","error: function () {"
"alerts","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_catalog_uploads.js","32","validateCatalog","alert(""Unable to validate catalog."");"
"alerts","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_catalog_uploads.js","39","applyCatalog","alert(""Validate the catalog before applying."");"
"ajax","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_catalog_uploads.js","47","applyCatalog","$.ajax({"
"alerts","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_catalog_uploads.js","59","applyCatalog","alert(""Catalog sync completed."");"
"generic_error","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_catalog_uploads.js","62","applyCatalog","error: function () {"
"alerts","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_catalog_uploads.js","63","applyCatalog","alert(""Unable to apply catalog."");"
"ajax","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_compliance_flow.js","15","entityTypeSelectionChangeEvent","$.ajax({"
"alerts","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_compliance_flow.js","33","addComplianceWorkFlow","alert(""Please select Entity type to proceed"");"
"alerts","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_compliance_flow.js","37","addComplianceWorkFlow","alert(""Please select Group/Role State to proceed"");"
"alerts","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_compliance_flow.js","42","addComplianceWorkFlow","alert(""Plase select Previous Role State to proceed"");"
"alerts","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_compliance_flow.js","46","addComplianceWorkFlow","alert(""Plase select Next Role State to proceed"");"
"alerts","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_compliance_flow.js","50","addComplianceWorkFlow","alert(""Plase select Compliance Up State to proceed"");"
"alerts","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_compliance_flow.js","54","addComplianceWorkFlow","alert(""Plase select Compliance Down State to proceed"");"
"ajax","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_compliance_flow.js","57","addComplianceWorkFlow","$.ajax({"
"ajax","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_compliance_flow.js","101","updateComplianceFlow","$.ajax({"
"ajax","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_dashboard_layout.js","14","loadDashboardLayout","$.ajax({"
"generic_error","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_dashboard_layout.js","31","loadDashboardLayout","error: function () {"
"alerts","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_dashboard_layout.js","32","loadDashboardLayout","alert(""Unable to load dashboard layout."");"
"ajax","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_dashboard_layout.js","38","loadAvailableDashboardPages","$.ajax({"
"generic_error","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_dashboard_layout.js","54","loadAvailableDashboardPages","error: function () {"
"alerts","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_dashboard_layout.js","55","loadAvailableDashboardPages","alert(""Unable to load available pages."");"
"ajax","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_dashboard_layout.js","72","getDashboardSubMenus","$.ajax({"
"alerts","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_dashboard_layout.js","92","loadDashboardMenuPages","alert(""Select a role to continue."");"
"alerts","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_dashboard_layout.js","97","loadDashboardMenuPages","alert(""Select a menu to continue."");"
"ajax","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_dashboard_layout.js","102","loadDashboardMenuPages","$.ajax({"
"alerts","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_dashboard_layout.js","215","addDashboardPage","alert(""Select a role to continue."");"
"alerts","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_dashboard_layout.js","220","addDashboardPage","alert(""Select a page to continue."");"
"ajax","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_dashboard_layout.js","291","submitDashboardLayout","$.ajax({"
"generic_error","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_dashboard_layout.js","305","submitDashboardLayout","error: function () {"
"alerts","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_dashboard_layout.js","306","submitDashboardLayout","alert(""Unable to save dashboard layout."");"
"ajax","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_entity_addition.js","27","getEntityDetailsByName","$.ajax({"
"ajax","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_entity_addition.js","57","getEntityDetailsByCode","$.ajax({"
"ajax","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_entity_addition.js","83","getAISEntityDetailsByName","$.ajax({"
"ajax","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_entity_addition.js","109","getAISEntityDetailsByCode","$.ajax({"
"ajax","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_entity_addition.js","168","saveUpdateChangesInAISEntity","$.ajax({"
"ajax","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_entity_addition.js","192","saveAddInAISEntity","$.ajax({"
"ajax","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_entity_addition.js","226","getEntityExistingMapping","$.ajax({"
"ajax","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_entity_addition.js","259","getEntitiesListByTypeId","$.ajax({"
"ajax","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_entity_addition.js","295","saveInsertAISEntityMapping","$.ajax({"
"ajax","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_entity_addition.js","315","saveUpdateAISEntityMapping","$.ajax({"
"ajax","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_entity_gm_reporting_div_management.js","12","getrelation","$.ajax({"
"ajax","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_entity_gm_reporting_div_management.js","48","getplacepost","$.ajax({"
"alerts","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_entity_gm_reporting_div_management.js","83","updateComplianceOffice","alert(""please select entity to proceed"");"
"ajax","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_entity_gm_reporting_div_management.js","87","updateComplianceOffice","$.ajax({"
"ajax","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_entity_relationship.js","22","showPagesBlock","$.ajax({"
"alerts","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_entity_relationship.js","49","publishSaveChanges","alert('Please check atleast one page to proceed');"
"ajax","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_entity_relationship.js","53","publishSaveChanges","$.ajax({"
"alerts","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_entity_relationship.js","62","publishSaveChanges","alert(""Menu Pages assignment Succesfully completed"");"
"ajax","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_entity_relationship.js","74","getrelation","$.ajax({"
"ajax","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_entity_relationship.js","111","getplacepost","$.ajax({"
"ajax","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_entity_shifting.js","44","getEntityDetailsByName","$.ajax({"
"ajax","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_entity_shifting.js","72","getEntityDetailsByCode","$.ajax({"
"ajax","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_entity_shifting.js","99","getAISEntityDetailsByName","$.ajax({"
"ajax","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_entity_shifting.js","125","getAISEntityDetailsByCode","$.ajax({"
"alerts","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_entity_shifting.js","153","getFromEntityDetail","alert(""Enter Old Entity ID to proceed"");"
"alerts","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_entity_shifting.js","157","getFromEntityDetail","alert(""Enter New Entity ID to proceed"");"
"ajax","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_entity_shifting.js","166","getToEntityDetail","$.ajax({"
"ajax","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_entity_shifting.js","211","getToEntityDetail","$.ajax({"
"ajax","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_entity_shifting.js","297","saveUpdateChangesInAISEntity","$.ajax({"
"ajax","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_entity_shifting.js","321","saveAddInAISEntity","$.ajax({"
"ajax","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_entity_shifting.js","355","getEntityExistingMapping","$.ajax({"
"ajax","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_entity_shifting.js","388","getEntitiesListByTypeId","$.ajax({"
"ajax","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_entity_shifting.js","424","saveInsertAISEntityMapping","$.ajax({"
"ajax","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_entity_shifting.js","444","saveUpdateAISEntityMapping","$.ajax({"
"ajax","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_entity_shifting.js","469","proceedConvToIslamic","$.ajax({"
"ajax","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_entity_shifting.js","489","saveInsertAISEntityShifting","$.ajax({"
"ajax","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_gm_repo_line_management.js","12","getrelation","$.ajax({"
"ajax","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_gm_repo_line_management.js","48","getplacepost","$.ajax({"
"alerts","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_gm_repo_line_management.js","83","updateGMOffice","alert(""please select atleast one entity to proceed"");"
"alerts","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_gm_repo_line_management.js","88","updateGMOffice","alert(""Please select at least either GM Office or Reporting Line to proceed "");"
"ajax","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_gm_repo_line_management.js","92","updateGMOffice","$.ajax({"
"ajax","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_groups.js","45","publishGroupChanges","$.ajax({"
"ajax","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_group_role_assignment.js","33","showMenuPagesBlock","$.ajax({"
"ajax","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_group_role_assignment.js","52","getAssignedMenuPages","$.ajax({"
"ajax","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_group_role_assignment.js","80","AddGroupItemAssignment","$.ajax({"
"alerts","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_group_role_assignment.js","91","AddGroupItemAssignment","alert('Mapping successfuly completed ');"
"ajax","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_hr_design_wise_role.js","18","getHRDesignationWiseRole","$.ajax({"
"ajax","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_hr_design_wise_role.js","62","submitAddNewHRDesignationWiseRoleAssignment","$.ajax({"
"ajax","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_hr_design_wise_role.js","79","submitAddNewHRDesignationWiseRoleAssignment","$.ajax({"
"ajax","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_ManagePublicHolidays.js","2","loadHolidays","$.ajax({"
"ajax","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_ManagePublicHolidays.js","38","loadHolidays","$.ajax({"
"ajax","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_manage_entity_mapping.js","20","getEntityMapping","$.ajax({"
"ajax","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_manage_entity_mapping.js","51","getEntityMappingReporting","$.ajax({"
"ajax","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_manage_entity_mapping.js","114","saveChangesEntityType","$.ajax({"
"ajax","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_manage_entity_mapping.js","145","getEntityIDDropBox","$.ajax({"
"ajax","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_manage_entity_relations.js","12","getEntityRelations","$.ajax({"
"ajax","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_manage_entity_relations.js","72","saveChangesEntityType","$.ajax({"
"ajax","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_manage_entity_type.js","27","getEntityTypes","$.ajax({"
"ajax","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_manage_entity_type.js","88","saveChangesEntityType","$.ajax({"
"ajax","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_manage_ent_audit_dept.js","23","getManageEntityAuditDeptt","$.ajax({"
"ajax","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_manage_ent_audit_dept.js","109","saveChangesManageEntityAuditDepartment","$.ajax({"
"ajax","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_manage_ent_audit_dept.js","124","saveChangesManageEntityAuditDepartment","$.ajax({"
"ajax","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_manage_obs_status.js","23","getObservationStatus","$.ajax({"
"ajax","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_manage_obs_status.js","93","saveChangesManageObservationStatus","$.ajax({"
"ajax","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_manage_obs_status.js","108","saveChangesManageObservationStatus","$.ajax({"
"ajax","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_manage_user.js","21","ShowSelectedZonesBranches","$.ajax({"
"ajax","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_manage_user.js","43","getrelation","$.ajax({"
"ajax","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_manage_user.js","80","getplacepost","$.ajax({"
"ajax","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_manage_user.js","113","ShowSelectedDivisionDepartments","$.ajax({"
"alerts","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_manage_user.js","151","findButtonClickHandler","alert('Please provide at least one filter to proceed');"
"ajax","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_manage_user.js","156","findButtonClickHandler","$.ajax({"
"ajax","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_manage_user.js","220","ShowEditedZonesBranches","$.ajax({"
"ajax","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_manage_user.js","249","ShowEditedDivisionDepartments","$.ajax({"
"ajax","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_manage_user.js","303","saveButtonClickHandler","$.ajax({"
"generic_error","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_manage_user.js","324","saveButtonClickHandler","error: function (xhr) {"
"alerts","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_manage_user.js","332","saveButtonClickHandler","alert('Password and Confirm Password should be Same');"
"ajax","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_manage_user.js","341","addNewUserButtonClickHandler","$.ajax({"
"alerts","C:\Users\Asad Ali\Documents\GitHub\HTTPS-IAS-Production\AIS\wwwroot\js\csp\Views_AdministrationPanel_manage_user.js","360","addNewUserButtonClickHandler","alert('Password and Confirm Password should be Same');"
